Rg,Spieler,Land,Pos,Verein,Alt,Geboren,90,SCA,SCA-90,AktivPass,ToterPass,Dribb.,Sc,Gef,Vert.,GCA,GCA-90,AktivPass,ToterPass,Dribb.,Sc,Gef,Vert.,Spiele
56,Leonardo Bittencourt\Leonardo-Bittencourt,de GER,MFFW,Werder Bremen,26,1993,16.8,2.68,268,1.55,0.60,0.24,0.06,0.12,0.12,0.24,024,0.06,0.06,0.00,0.00,0.06,0.06,Spiele
57,Jérôme Boateng\Jerome-Boateng,de GER,DF,Bayern Munich,31,1988,26.3,0.57,057,0.53,0.00,0.00,0.00,0.00,0.04,0.11,011,0.11,0.00,0.00,0.00,0.00,0.00,Spiele
58,Jean-Paul Boëtius\Jean-Paul-Boetius,nl NED,MFFW,Mainz 05,26,1994,22.9,2.62,262,2.10,0.04,0.17,0.09,0.17,0.04,0.31,031,0.26,0.00,0.00,0.04,0.00,0.00,Spiele
59,Melayro Bogarde\Melayro-Bogarde,nl NED,DFMF,Hoffenheim,18,2002,3.1,2.58,260,1.94,0.00,0.00,0.00,0.65,0.00,0.32,032,0.32,0.00,0.00,0.00,0.00,0.00,Spiele
60,Elias Bördner\Elias-Bordner,de GER,TW,Eint Frankfurt,18,2002,1.0,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
61,Dennis Borkowski\Dennis-Borkowski,de GER,MFFW,RB Leipzig,18,2002,0.1,10.0,818,10.0,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
62,Sebastiaan Bornauw\Sebastiaan-Bornauw,be BEL,DF,Köln,21,1999,23.1,0.09,009,0.09,0.00,0.00,0.00,0.00,0.00,0.04,004,0.04,0.00,0.00,0.00,0.00,0.00,Spiele
63,Nassim Boujellab\Nassim-Boujellab,ma MAR,MFFW,Schalke 04,21,1999,6.7,2.09,208,1.34,0.00,0.00,0.30,0.45,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
64,Dedryck Boyata\Dedryck-Boyata,be BEL,DF,Hertha BSC,29,1990,17.2,0.47,047,0.41,0.00,0.00,0.06,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
65,Can Bozdogan\Can-Bozdogan,de GER,MF,Schalke 04,19,2001,7.2,1.25,124,0.97,0.14,0.14,0.00,0.00,0.00,0.42,041,0.28,0.00,0.14,0.00,0.00,0.00,Spiele
