Rg,Spieler,Land,Pos,Verein,Alt,Geboren,90,SCA,SCA-90,AktivPass,ToterPass,Dribb.,Sc,Gef,Vert.,GCA,GCA-90,AktivPass,ToterPass,Dribb.,Sc,Gef,Vert.,Spiele
244,Mateo Klimowicz\Mateo-Klimowicz,de GER,FWMF,Stuttgart,20,2000,13.3,2.71,270,1.80,0.00,0.38,0.15,0.30,0.08,0.60,060,0.23,0.00,0.15,0.00,0.15,0.08,Spiele
245,Fabian Klos\Fabian-Klos,de GER,FW,Arminia,32,1987,30.1,1.96,196,1.56,0.00,0.03,0.13,0.20,0.03,0.20,020,0.17,0.00,0.03,0.00,0.00,0.00,Spiele
246,Lukas Klostermann\Lukas-Klostermann,de GER,DF,RB Leipzig,24,1996,16.1,1.30,131,1.18,0.00,0.00,0.00,0.12,0.00,0.06,006,0.06,0.00,0.00,0.00,0.00,0.00,Spiele
247,Justin Kluivert\Justin-Kluivert,nl NED,FW,RB Leipzig,21,1999,9.0,2.56,255,1.78,0.00,0.33,0.22,0.22,0.00,0.33,033,0.00,0.00,0.22,0.11,0.00,0.00,Spiele
248,Lukas Klünter\Lukas-Klunter,de GER,DF,Hertha BSC,24,1996,11.0,0.73,073,0.64,0.00,0.00,0.00,0.00,0.09,0.27,027,0.27,0.00,0.00,0.00,0.00,0.00,Spiele
249,Ansgar Knauff\Ansgar-Knauff,de GER,FWMF,Dortmund,18,2002,0.8,10.0,1014,6.25,0.00,2.50,0.00,1.25,0.00,2.50,254,1.25,0.00,1.25,0.00,0.00,0.00,Spiele
250,Robin Knoche\Robin-Knoche,de GER,DF,Union Berlin,28,1992,33.8,0.47,047,0.33,0.06,0.00,0.06,0.00,0.03,0.06,006,0.06,0.00,0.00,0.00,0.00,0.00,Spiele
251,Gregor Kobel\Gregor-Kobel,ch SUI,TW,Stuttgart,22,1997,33.0,0.03,003,0.03,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
252,Dominik Kohr\Dominik-Kohr,de GER,MFFW,Eint Frankfurt,26,1994,2.9,1.38,138,0.69,0.00,0.34,0.00,0.34,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
253,Dominik Kohr\Dominik-Kohr,de GER,MF,Mainz 05,26,1994,14.1,1.42,142,0.99,0.00,0.07,0.14,0.21,0.00,0.14,014,0.07,0.00,0.00,0.07,0.00,0.00,Spiele
254,Sead Kolašinac\Sead-Kolasinac,ba BIH,DFMF,Schalke 04,27,1993,15.8,1.27,126,0.95,0.00,0.19,0.00,0.06,0.06,0.13,013,0.13,0.00,0.00,0.00,0.00,0.00,Spiele
255,Ibrahima Konaté\Ibrahima-Konate,fr FRA,DF,RB Leipzig,21,1999,7.7,0.13,013,0.13,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
256,Filip Kosti?\Filip-Kostic,rs SRB,DF,Eint Frankfurt,27,1992,28.2,4.26,426,2.87,1.03,0.04,0.18,0.11,0.04,0.85,085,0.57,0.18,0.04,0.04,0.04,0.00,Spiele
257,Nianzou Kouassi\Nianzou-Kouassi,fr FRA,DFMF,Bayern Munich,18,2002,1.3,1.54,153,1.54,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
258,Andrej Kramari?\Andrej-Kramaric,hr CRO,FWMF,Hoffenheim,29,1991,26.4,3.41,340,2.27,0.30,0.38,0.15,0.27,0.04,0.53,053,0.34,0.08,0.04,0.00,0.04,0.04,Spiele
259,Christoph Kramer\Christoph-Kramer,de GER,MF,M'Gladbach,29,1991,22.6,1.46,146,1.11,0.04,0.04,0.04,0.13,0.09,0.13,013,0.09,0.00,0.00,0.00,0.00,0.04,Spiele
260,Max Kruse\Max-Kruse,de GER,FWMF,Union Berlin,32,1988,18.1,3.48,348,2.43,0.72,0.11,0.17,0.06,0.00,0.55,055,0.50,0.00,0.00,0.06,0.00,0.00,Spiele
261,Lukas Kübler\Lukas-Kubler,de GER,DF,Freiburg,27,1992,9.8,1.02,102,0.82,0.20,0.00,0.00,0.00,0.00,0.10,010,0.10,0.00,0.00,0.00,0.00,0.00,Spiele
262,Pierre Kunde\Pierre-Kunde,cm CMR,MF,Mainz 05,25,1995,5.7,1.40,140,1.23,0.18,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
263,Fabian Kunze\Fabian-Kunze,de GER,MF,Arminia,22,1998,14.1,1.13,113,0.85,0.00,0.14,0.07,0.07,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
264,Ahmed Kutucu\Ahmed-Kutucu,tr TUR,FWMF,Schalke 04,20,2000,1.2,0.83,083,0.83,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
265,Maxence Lacroix\Maxence-Lacroix,fr FRA,DF,Wolfsburg,20,2000,28.8,0.69,069,0.52,0.00,0.00,0.14,0.00,0.03,0.14,014,0.07,0.00,0.00,0.07,0.00,0.00,Spiele
266,Konrad Laimer\Konrad-Laimer,at AUT,DFFW,RB Leipzig,23,1997,0.9,1.11,107,1.11,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
267,Stefan Lainer\Stefan-Lainer,at AUT,DF,M'Gladbach,27,1992,30.8,1.88,189,1.46,0.10,0.06,0.03,0.13,0.10,0.19,020,0.10,0.03,0.00,0.00,0.06,0.00,Spiele
268,Michael Langer\Michael-Langer,at AUT,TW,Schalke 04,35,1985,2.7,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
269,Danny Latza\Danny-Latza,de GER,MF,Mainz 05,30,1989,20.0,1.75,175,1.15,0.40,0.05,0.05,0.10,0.00,0.15,015,0.10,0.00,0.00,0.00,0.05,0.00,Spiele
270,Valentino Lazaro\Valentino-Lazaro,at AUT,DFFW,M'Gladbach,24,1996,13.8,2.32,232,1.88,0.22,0.00,0.07,0.07,0.07,0.14,015,0.14,0.00,0.00,0.00,0.00,0.00,Spiele
271,Mathew Leckie\Mathew-Leckie,au AUS,FWDF,Hertha BSC,29,1991,5.6,1.61,160,1.43,0.00,0.00,0.00,0.18,0.00,0.18,018,0.18,0.00,0.00,0.00,0.00,0.00,Spiele
272,Christopher Lenz\Christopher-Lenz,de GER,DF,Union Berlin,25,1994,25.0,1.88,188,1.52,0.12,0.08,0.04,0.00,0.12,0.20,020,0.16,0.00,0.00,0.00,0.00,0.04,Spiele
273,Robert Lewandowski\Robert-Lewandowski,pl POL,FW,Bayern Munich,31,1988,27.3,2.71,271,1.94,0.04,0.18,0.33,0.18,0.04,0.66,066,0.44,0.00,0.11,0.04,0.07,0.00,Spiele
274,Philipp Lienhart\Philipp-Lienhart,at AUT,DF,Freiburg,24,1996,33.3,0.39,039,0.33,0.03,0.00,0.00,0.03,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
275,Dimitris Limnios\Dimitris-Limnios,gr GRE,MFFW,Köln,22,1998,4.2,1.19,119,1.19,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
276,Niklas Lomb\Niklas-Lomb,de GER,TW,Leverkusen,27,1993,1.5,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
277,Eduard Löwen\Eduard-Lowen,de GER,MFDF,Hertha BSC,23,1997,0.9,1.11,106,1.11,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
278,Jan Luca Schuler\Jan-Luca-Schuler,de GER,FW,Schalke 04,21,1999,0.4,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
279,Anderson Lucoqui\Anderson-Lucoqui,ao ANG,DF,Arminia,23,1997,17.8,0.90,090,0.73,0.00,0.06,0.06,0.06,0.00,0.11,011,0.11,0.00,0.00,0.00,0.00,0.00,Spiele
280,Kilian Ludewig\Kilian-Ludewig,de GER,DF,Schalke 04,20,2000,5.8,1.55,156,1.55,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
281,Dodi Lukebakio\Dodi-Lukebakio,be BEL,FWMF,Hertha BSC,22,1997,20.6,2.09,209,1.75,0.05,0.19,0.05,0.00,0.05,0.34,034,0.34,0.00,0.00,0.00,0.00,0.00,Spiele
282,Andreas Luthe\Andreas-Luthe,de GER,TW,Union Berlin,33,1987,30.8,0.06,007,0.03,0.03,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
283,Tim Maciejewski\Tim-Maciejewski,de GER,MF,Union Berlin,19,2001,0.1,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
284,Luca Mack\Luca-Mack,de GER,MF,Stuttgart,20,2000,0.1,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
285,Mikail Maden\Mikail-Maden,no NOR,FW,Schalke 04,18,2002,0.1,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
286,Arne Maier\Arne-Maier,de GER,MF,Hertha BSC,21,1999,0.3,6.67,600,6.67,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
287,Arne Maier\Arne-Maier,de GER,MF,Arminia,21,1999,11.5,2.00,200,1.30,0.43,0.00,0.17,0.00,0.09,0.17,017,0.17,0.00,0.00,0.00,0.00,0.00,Spiele
288,Yunus Mall?\Yunus-Malli,tr TUR,MF,Wolfsburg,28,1992,0.6,3.33,310,3.33,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
289,Orel Mangala\Orel-Mangala,be BEL,MF,Stuttgart,22,1998,23.4,2.26,226,1.75,0.00,0.13,0.04,0.26,0.09,0.21,021,0.13,0.00,0.00,0.00,0.04,0.04,Spiele
290,Omar Marmoush\Omar-Marmoush,eg EGY,FW,Wolfsburg,21,1999,0.0,0,000,0,0,0,0,0,0,0,000,0,0,0,0,0,0,Spiele
291,Aarón Martín\Aaron-Martin,es ESP,DF,Mainz 05,23,1997,2.9,1.72,172,1.03,0.69,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
292,Javi Martínez\Javi-Martinez,es ESP,DFMF,Bayern Munich,31,1988,5.2,0.58,058,0.58,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
293,Josep Martinez\Josep-Martinez,es ESP,TW,RB Leipzig,22,1998,1.0,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
294,Omar Mascarell\Omar-Mascarell,es ESP,MF,Schalke 04,27,1993,19.6,0.61,061,0.41,0.20,0.00,0.00,0.00,0.00,0.05,005,0.00,0.05,0.00,0.00,0.00,0.00,Spiele
295,Roberto Massimo\Roberto-Massimo,de GER,DFFW,Stuttgart,19,2000,8.4,2.62,262,1.43,0.00,0.48,0.48,0.24,0.00,0.36,036,0.12,0.00,0.00,0.12,0.12,0.00,Spiele
296,Jean-Philippe Mateta\Jean-Philippe-Mateta,fr FRA,FW,Mainz 05,23,1997,11.1,2.25,226,1.62,0.09,0.45,0.00,0.09,0.00,0.36,036,0.27,0.00,0.00,0.00,0.09,0.00,Spiele
297,Rabbi Matondo\Rabbi-Matondo,wls WAL,FWMF,Schalke 04,19,2000,2.4,1.67,164,1.25,0.00,0.00,0.00,0.00,0.42,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
298,Henning Matriciani\Henning-Matriciani,de GER,DF,Schalke 04,20,2000,0.3,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
299,Konstantinos Mavropanos\Konstantinos-Mavropanos,gr GRE,DF,Stuttgart,22,1997,16.3,0.55,055,0.37,0.00,0.00,0.12,0.00,0.06,0.12,012,0.06,0.00,0.00,0.06,0.00,0.00,Spiele
300,Eric Maxim Choupo-Moting\Eric-Maxim-Choupo-Moting,cm CMR,FWMF,Bayern Munich,31,1989,9.1,2.31,230,1.87,0.00,0.22,0.00,0.22,0.00,0.11,011,0.00,0.00,0.00,0.00,0.11,0.00,Spiele
301,Kevin Mbabu\Kevin-Mbabu,ch SUI,DF,Wolfsburg,25,1995,18.2,1.65,164,1.37,0.05,0.00,0.05,0.16,0.00,0.11,011,0.11,0.00,0.00,0.00,0.00,0.00,Spiele
302,Jean-Manuel Mbom\Jean-Manuel-Mbom,de GER,MFDF,Werder Bremen,20,2000,12.9,1.47,147,0.85,0.16,0.08,0.00,0.31,0.08,0.16,016,0.08,0.00,0.00,0.00,0.08,0.00,Spiele
303,Nathan de Medina\Nathan-de-Medina,be BEL,DF,Arminia,22,1997,7.1,0.70,070,0.70,0.00,0.00,0.00,0.00,0.00,0.14,014,0.14,0.00,0.00,0.00,0.00,0.00,Spiele
304,Joshua Mees\Joshua-Mees,de GER,FW,Union Berlin,24,1996,0.1,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
305,Admir Mehmedi\Admir-Mehmedi,ch SUI,MFFW,Wolfsburg,29,1991,9.1,4.51,450,3.74,0.11,0.11,0.22,0.22,0.11,0.33,033,0.33,0.00,0.00,0.00,0.00,0.00,Spiele
306,Hamza Mendyl\Hamza-Mendyl,ma MAR,FWDF,Schalke 04,22,1997,1.1,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
307,Levent Mercan\Levent-Mercan,de GER,FW,Schalke 04,19,2000,0.1,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
308,Jorge Meré\Jorge-Mere,es ESP,DF,Köln,23,1997,14.4,0.35,035,0.35,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
309,Thomas Meunier\Thomas-Meunier,be BEL,DF,Dortmund,28,1991,16.4,1.46,147,1.10,0.06,0.06,0.12,0.06,0.06,0.06,006,0.00,0.00,0.00,0.06,0.00,0.00,Spiele
310,Max Meyer\Max-Meyer,de GER,MF,Köln,24,1995,3.9,1.54,154,1.54,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
311,Jonas Michel Dirkner\Jonas-Michel-Dirkner,de GER,MF,Hertha BSC,18,2002,0.2,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
312,Jonas Michelbrink\Jonas-Michelbrink,de GER,MF,Hertha BSC,19,2001,0.4,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
313,Maximilian Mittelstädt\Maximilian-Mittelstadt,de GER,DF,Hertha BSC,23,1997,20.0,1.85,185,1.50,0.10,0.10,0.05,0.00,0.10,0.10,010,0.10,0.00,0.00,0.00,0.00,0.00,Spiele
314,Anthony Modeste\Anthony-Modeste,fr FRA,FWMF,Köln,32,1988,2.5,1.60,163,0.80,0.00,0.00,0.40,0.40,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
315,Kevin Möhwald\Kevin-Mohwald,de GER,MF,Werder Bremen,27,1993,17.3,1.68,168,1.21,0.29,0.00,0.12,0.06,0.00,0.17,017,0.17,0.00,0.00,0.00,0.00,0.00,Spiele
316,Niklas Moisander\Niklas-Moisander,fi FIN,DF,Werder Bremen,34,1985,13.6,0.22,022,0.22,0.00,0.00,0.00,0.00,0.00,0.07,007,0.07,0.00,0.00,0.00,0.00,0.00,Spiele
317,Alkhaly Momo Cissé\Alkhaly-Momo-Cisse,gn GUI,DFFW,Stuttgart,17,2002,0.4,2.50,237,2.50,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
318,Jan Morávek\Jan-Moravek,cz CZE,MF,Augsburg,30,1989,3.0,1.67,169,1.33,0.00,0.00,0.33,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
319,Mateu Morey\Mateu-Morey,es ESP,DF,Dortmund,20,2000,9.2,2.07,206,1.85,0.00,0.00,0.00,0.22,0.00,0.33,033,0.33,0.00,0.00,0.00,0.00,0.00,Spiele
320,Youssoufa Moukoko\Youssoufa-Moukoko,de GER,FWMF,Dortmund,15,2004,4.7,3.62,363,1.28,0.00,0.43,0.85,0.64,0.43,0.43,043,0.21,0.00,0.21,0.00,0.00,0.00,Spiele
321,Nordi Mukiele\Nordi-Mukiele,fr FRA,DF,RB Leipzig,22,1997,18.6,1.40,140,1.18,0.05,0.00,0.00,0.16,0.00,0.16,016,0.11,0.00,0.00,0.00,0.05,0.00,Spiele
322,Florian Müller\Florian-Muller,de GER,TW,Freiburg,22,1997,31.0,0.23,023,0.19,0.03,0.00,0.00,0.00,0.00,0.03,003,0.03,0.00,0.00,0.00,0.00,0.00,Spiele
323,Sebastian Müller\Sebastian-Muller,de GER,MFDF,Arminia,19,2001,0.0,0,000,0,0,0,0,0,0,0,000,0,0,0,0,0,0,Spiele
324,Thomas Müller\Thomas-Muller,de GER,MF,Bayern Munich,30,1989,29.7,4.81,481,4.31,0.03,0.17,0.13,0.10,0.07,0.98,098,0.84,0.00,0.03,0.07,0.03,0.00,Spiele
325,Petar Musa\Petar-Musa,hr CRO,FW,Union Berlin,22,1998,7.9,2.03,201,1.77,0.00,0.00,0.00,0.25,0.00,0.25,025,0.25,0.00,0.00,0.00,0.00,0.00,Spiele
326,Jamal Musiala\Jamal-Musiala,de GER,FWMF,Bayern Munich,17,2003,9.8,3.47,347,2.24,0.10,0.61,0.10,0.20,0.20,0.61,061,0.41,0.00,0.20,0.00,0.00,0.00,Spiele
327,Shkodran Mustafi\Shkodran-Mustafi,de GER,DF,Schalke 04,28,1992,11.5,0.35,035,0.09,0.17,0.00,0.09,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
328,Phillipp Mwene\Phillipp-Mwene,at AUT,DF,Mainz 05,26,1994,18.6,1.99,199,1.13,0.54,0.05,0.05,0.16,0.05,0.16,016,0.11,0.05,0.00,0.00,0.00,0.00,Spiele
329,Obite N'Dicka\Obite-NDicka,fr FRA,DF,Eint Frankfurt,20,1999,22.7,0.84,084,0.70,0.04,0.00,0.04,0.00,0.04,0.13,013,0.09,0.04,0.00,0.00,0.00,0.00,Spiele
330,Matija Nastasi?\Matija-Nastasic,rs SRB,DF,Schalke 04,27,1993,13.6,0.22,022,0.22,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
331,Paul Nebel\Paul-Nebel,de GER,MFFW,Mainz 05,17,2002,0.6,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
332,Luca Netz\Luca-Netz,de GER,DFMF,Hertha BSC,17,2003,3.4,1.76,175,1.18,0.00,0.00,0.29,0.00,0.29,0.29,029,0.00,0.00,0.00,0.29,0.00,0.00,Spiele
333,Manuel Neuer\Manuel-Neuer,de GER,TW,Bayern Munich,34,1986,33.0,0.12,012,0.12,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
334,Florian Neuhaus\Florian-Neuhaus,de GER,MF,M'Gladbach,23,1997,29.1,2.16,216,1.68,0.03,0.17,0.14,0.10,0.03,0.31,031,0.24,0.03,0.00,0.03,0.00,0.00,Spiele
335,Jessic Ngankam\Jessic-Ngankam,de GER,FW,Hertha BSC,20,2000,3.3,0.91,091,0.30,0.00,0.30,0.30,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
336,Moussa Niakhate\Moussa-Niakhate,fr FRA,DF,Mainz 05,24,1996,31.8,1.19,119,0.79,0.16,0.09,0.06,0.03,0.06,0.06,006,0.06,0.00,0.00,0.00,0.00,0.00,Spiele
337,Florian Niederlechner\Florian-Niederlechner,de GER,FW,Augsburg,29,1990,19.3,1.45,145,1.04,0.00,0.16,0.00,0.21,0.05,0.26,026,0.26,0.00,0.00,0.00,0.00,0.00,Spiele
338,Joakim Nilsson\Joakim-Nilsson,se SWE,DF,Arminia,26,1994,24.0,0.29,029,0.25,0.04,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
339,Christopher Nkunku\Christopher-Nkunku,fr FRA,FWMF,RB Leipzig,22,1997,21.0,6.19,618,3.14,1.71,0.38,0.29,0.57,0.10,0.76,076,0.48,0.10,0.10,0.05,0.05,0.00,Spiele
340,Håvard Nordtveit\Havard-Nordtveit,no NOR,DF,Hoffenheim,30,1990,7.8,0.77,077,0.51,0.00,0.00,0.26,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
341,Alexander Nübel\Alexander-Nubel,de GER,TW,Bayern Munich,23,1996,1.0,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
342,Kasim Nuhu\Kasim-Nuhu,gh GHA,DF,Hoffenheim,25,1995,11.0,0.55,055,0.55,0.00,0.00,0.00,0.00,0.00,0.09,009,0.09,0.00,0.00,0.00,0.00,0.00,Spiele
343,Bastian Oczipka\Bastian-Oczipka,de GER,DF,Schalke 04,31,1989,21.4,2.10,211,1.31,0.70,0.00,0.00,0.09,0.00,0.14,014,0.09,0.05,0.00,0.00,0.00,0.00,Spiele
344,Masaya Okugawa\Masaya-Okugawa,jp JPN,MFFW,Arminia,24,1996,10.2,1.57,158,0.78,0.10,0.00,0.10,0.39,0.20,0.39,039,0.00,0.00,0.00,0.10,0.20,0.10,Spiele
345,Dani Olmo\Dani-Olmo,es ESP,MFFW,RB Leipzig,22,1998,24.4,4.26,427,3.36,0.00,0.16,0.49,0.12,0.12,0.78,078,0.57,0.00,0.04,0.08,0.04,0.04,Spiele
346,Karim Onisiwo\Karim-Onisiwo,at AUT,FW,Mainz 05,28,1992,20.5,2.29,230,1.51,0.00,0.24,0.20,0.20,0.15,0.20,020,0.00,0.00,0.05,0.10,0.05,0.00,Spiele
347,Willi Orban\Willi-Orban,hu HUN,DF,RB Leipzig,27,1992,26.3,0.68,069,0.49,0.00,0.00,0.11,0.04,0.04,0.11,011,0.04,0.00,0.00,0.00,0.04,0.04,Spiele
348,Stefan Ortega\Stefan-Ortega,de GER,TW,Arminia,27,1992,34.0,0.53,053,0.44,0.09,0.00,0.00,0.00,0.00,0.09,009,0.09,0.00,0.00,0.00,0.00,0.00,Spiele
349,Yuya Osako\Yuya-Osako,jp JPN,MFFW,Werder Bremen,30,1990,8.5,2.71,272,2.24,0.00,0.12,0.00,0.24,0.12,0.35,035,0.24,0.00,0.00,0.00,0.00,0.12,Spiele
350,Paulo Otávio\Paulo-Otavio,br BRA,DF,Wolfsburg,25,1994,19.3,1.61,161,1.35,0.05,0.16,0.00,0.05,0.00,0.10,010,0.10,0.00,0.00,0.00,0.00,0.00,Spiele
351,Reece Oxford\Reece-Oxford,eng ENG,DF,Augsburg,21,1998,15.1,0.26,027,0.20,0.00,0.00,0.00,0.07,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
352,Salih Özcan\Salih-Ozcan,de GER,MFFW,Köln,22,1998,15.2,1.58,158,1.05,0.07,0.13,0.00,0.33,0.00,0.20,020,0.20,0.00,0.00,0.00,0.00,0.00,Spiele
353,Levin Öztunal?\Levin-Oztunali,de GER,DFFW,Mainz 05,24,1996,8.4,2.26,226,1.79,0.24,0.12,0.00,0.12,0.00,0.24,024,0.24,0.00,0.00,0.00,0.00,0.00,Spiele
354,Gonçalo Paciência\Goncalo-Paciencia,pt POR,FW,Schalke 04,25,1994,8.3,1.57,156,0.84,0.00,0.24,0.36,0.12,0.00,0.48,048,0.24,0.00,0.12,0.00,0.12,0.00,Spiele
355,Exequiel Palacios\Exequiel-Palacios,ar ARG,MF,Leverkusen,21,1998,6.4,2.34,236,2.03,0.00,0.31,0.00,0.00,0.00,0.16,016,0.16,0.00,0.00,0.00,0.00,0.00,Spiele
356,Matondo-Merveille Papela\Matondo-Merveille-Papela,de GER,DF,Mainz 05,19,2001,0.0,0,000,0,0,0,0,0,0,0,000,0,0,0,0,0,0,Spiele
357,Felix Passlack\Felix-Passlack,de GER,DF,Dortmund,22,1998,4.0,1.50,149,1.50,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
358,Paulinho\Paulinho,br BRA,FW,Leverkusen,20,2000,0.7,1.43,138,1.43,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
359,Benjamin Pavard\Benjamin-Pavard,fr FRA,DF,Bayern Munich,24,1996,21.6,1.30,130,1.16,0.09,0.00,0.00,0.05,0.00,0.09,009,0.09,0.00,0.00,0.00,0.00,0.00,Spiele
360,Ji?í Pavlenka\Jiri-Pavlenka,cz CZE,TW,Werder Bremen,28,1992,34.0,0.03,003,0.00,0.03,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
361,Vasileios Pavlidis\Vasileios-Pavlidis,gr GRE,FW,Schalke 04,17,2002,0.0,0,000,0,0,0,0,0,0,0,000,0,0,0,0,0,0,Spiele
362,Mads Pedersen\Mads-Pedersen,dk DEN,DF,Augsburg,23,1996,9.9,1.92,193,1.01,0.61,0.00,0.00,0.30,0.00,0.10,010,0.00,0.00,0.00,0.00,0.10,0.00,Spiele
363,Peter Pekarík\Peter-Pekarik,sk SVK,DF,Hertha BSC,33,1986,18.8,1.06,106,0.96,0.05,0.00,0.00,0.05,0.00,0.05,005,0.05,0.00,0.00,0.00,0.00,0.00,Spiele
364,Philipp Pentke\Philipp-Pentke,de GER,TW,Hoffenheim,35,1985,3.0,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
365,Pavao Pervan\Pavao-Pervan,at AUT,TW,Wolfsburg,32,1987,2.0,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
366,Nils Petersen\Nils-Petersen,de GER,FW,Freiburg,31,1988,14.5,1.66,166,1.24,0.00,0.00,0.28,0.00,0.14,0.07,007,0.00,0.00,0.00,0.07,0.00,0.00,Spiele
367,Lukas Petkov\Lukas-Petkov,de GER,MF,Augsburg,19,2000,0.0,0,000,0,0,0,0,0,0,0,000,0,0,0,0,0,0,Spiele
368,Maximilian Philipp\Maximilian-Philipp,de GER,MF,Wolfsburg,26,1994,12.3,2.36,235,1.63,0.24,0.16,0.16,0.08,0.08,0.33,032,0.33,0.00,0.00,0.00,0.00,0.00,Spiele
