Rg,Spieler,Land,Pos,Verein,Alt,Geboren,90,Ver,Live,Tot,FS,SP,Pressen,W,Fla,EB,Innen,AuÃŸen,Ger.,Boden,Tief,Hoch,Links,Rechts,Kopf,EW,Andere,Vol,Aus,AuÃŸerhalb,Abg,Blocks,Spiele
29,Ridle Baku\Ridle-Baku,de GER,FWDF,Wolfsburg,22,1998,29.8,49.0,41.9,7.08,0.37,0.13,7.18,0.97,2.95,0.23,0.10,0.00,0.00,29.5,9.63,9.90,8.29,32.2,1.64,6.48,0.07,36.8,0.13,0.64,1.71,2.15,Spiele
30,Philipp Bargfrede\Philipp-Bargfrede,de GER,MF,Werder Bremen,31,1989,0.3,36.7,36.7,0.00,0.00,0.00,13.3,0.00,3.33,0.00,0.00,0.00,0.00,16.7,16.7,3.33,3.33,26.7,3.33,0.00,0.00,33.3,0.00,0.00,0.00,3.33,Spiele
31,Aymen Barkok\Aymen-Barkok,ma MAR,MFFW,Eint Frankfurt,22,1998,10.9,45.7,40.1,5.60,0.92,0.37,9.63,1.47,1.56,2.57,0.37,1.19,0.28,32.1,5.32,8.26,8.26,32.5,1.56,1.83,0.18,33.1,0.00,0.73,1.74,1.19,Spiele
32,Leandro Barreiro Martins\Leandro-Barreiro-Martins,lu LUX,MF,Mainz 05,20,2000,25.6,27.9,27.4,0.47,0.43,0.12,5.98,0.20,0.23,0.00,0.00,0.00,0.00,15.9,4.49,7.46,4.34,18.4,3.01,0.04,0.39,18.5,0.08,0.51,0.59,1.41,Spiele
33,Jacob Barrett Laursen\Jacob-Barrett-Laursen,dk DEN,DF,Arminia,25,1994,12.3,45.7,36.3,9.35,0.89,0.08,5.69,0.41,1.30,0.00,0.00,0.00,0.00,26.7,7.97,11.1,25.0,9.27,2.20,8.46,0.33,35.6,0.00,0.65,0.98,2.03,Spiele
34,Oliver Baumann\Oliver-Baumann,de GER,TW,Hoffenheim,30,1990,31.0,43.6,33.7,9.87,3.29,0.00,2.71,0.97,0.00,0.00,0.00,0.00,0.00,27.8,1.32,14.5,6.13,30.5,0.06,0.00,5.65,34.4,0.06,1.13,0.13,0.06,Spiele
35,Julian Baumgartlinger\Julian-Baumgartlinger,at AUT,MF,Leverkusen,32,1988,11.9,56.1,54.4,1.76,1.60,0.00,11.3,1.85,0.17,0.00,0.00,0.00,0.00,39.8,6.64,9.66,8.07,43.9,2.35,0.08,0.25,48.7,0.08,0.67,0.59,1.09,Spiele
36,Christoph Baumgartner\Christoph-Baumgartner,at AUT,MFFW,Hoffenheim,20,1999,26.3,36.3,34.0,2.32,0.65,0.00,8.40,0.91,0.68,0.15,0.08,0.04,0.00,24.9,5.25,6.12,3.23,29.0,1.67,0.46,0.49,27.6,0.15,0.53,0.99,1.41,Spiele
37,Noah Joel Sarenren Bazee\Noah-Joel-Sarenren-Bazee,ng NGA,FWMF,Augsburg,23,1996,0.4,32.5,30.0,2.50,0.00,0.00,7.50,0.00,0.00,0.00,0.00,0.00,0.00,12.5,10.0,10.0,2.50,15.0,5.00,0.00,2.50,15.0,0.00,5.00,2.50,2.50,Spiele
38,Ihlas Bebou\Ihlas-Bebou,tg TOG,FW,Hoffenheim,26,1994,24.4,25.9,24.8,1.11,0.00,0.04,6.80,0.61,1.76,0.00,0.00,0.00,0.00,17.7,4.92,3.36,2.17,20.6,1.11,0.37,0.20,19.7,0.08,0.20,0.94,0.94,Spiele
39,Sheraldo Becker\Sheraldo-Becker,sr SUR,FWMF,Union Berlin,25,1995,12.3,27.3,26.8,0.49,0.00,0.08,4.80,0.98,4.31,0.00,0.00,0.00,0.00,15.1,6.02,6.18,3.90,20.3,1.87,0.33,0.33,17.2,0.16,0.81,0.98,1.54,Spiele
40,Timo Becker\Timo-Becker,de GER,DF,Schalke 04,23,1997,18.2,43.1,36.9,6.21,0.93,0.00,5.77,0.77,1.10,0.00,0.00,0.00,0.00,27.3,7.91,7.97,3.08,32.7,1.48,5.27,0.05,33.3,0.11,0.93,1.48,1.65,Spiele
41,Brian Behrendt\Brian-Behrendt,de GER,DF,Arminia,28,1991,0.9,62.2,43.3,18.9,3.33,0.00,10.0,5.56,1.11,0.00,0.00,0.00,0.00,18.9,27.8,15.6,0.00,41.1,3.33,15.6,0.00,45.6,0.00,1.11,1.11,2.22,Spiele
42,Maximilian Beier\Maximilian-Beier,de GER,FWDF,Hoffenheim,17,2002,0.1,50.0,50.0,0.00,0.00,0.00,20.0,0.00,0.00,0.00,0.00,0.00,0.00,40.0,10.0,0.00,10.0,30.0,10.0,0.00,0.00,50.0,0.00,0.00,0.00,0.00,Spiele
