Rg,Spieler,Land,Pos,Verein,Alt,Geboren,90,Ver,Live,Tot,FS,SP,Pressen,W,Fla,EB,Innen,AuÃŸen,Ger.,Boden,Tief,Hoch,Links,Rechts,Kopf,EW,Andere,Vol,Aus,AuÃŸerhalb,Abg,Blocks,Spiele
90,Jhon Córdoba\Jhon-Cordoba,co COL,FW,Hertha BSC,27,1993,17.1,18.7,16.8,1.93,0.06,0.06,5.20,0.41,0.58,0.00,0.00,0.00,0.00,11.1,5.03,2.63,2.11,13.1,1.05,0.06,0.99,14.3,0.06,0.29,0.29,1.11,Spiele
91,Sergio Córdova\Sergio-Cordova,ve VEN,FWMF,Arminia,22,1997,12.1,22.1,21.5,0.58,0.08,0.08,6.53,0.25,0.66,0.00,0.00,0.00,0.00,13.5,4.96,3.64,2.15,14.8,2.15,0.17,0.74,14.9,0.17,0.74,0.83,1.32,Spiele
92,Danny da Costa\Danny-da-Costa,de GER,DF,Mainz 05,27,1993,13.4,38.2,28.1,10.1,0.45,0.00,4.55,0.82,2.61,0.00,0.00,0.00,0.00,14.9,8.28,15.0,4.33,21.9,1.79,9.70,0.15,23.2,0.00,0.82,1.49,2.09,Spiele
93,Danny da Costa\Danny-da-Costa,de GER,DF,Eint Frankfurt,27,1993,1.2,40.8,36.7,4.17,0.00,0.00,5.00,0.83,2.50,0.00,0.00,0.00,0.00,25.8,3.33,11.7,5.00,27.5,4.17,4.17,0.00,28.3,0.00,1.67,1.67,3.33,Spiele
94,Douglas Costa\Douglas-Costa,br BRA,FWMF,Bayern Munich,29,1990,3.6,51.9,45.8,6.11,0.56,0.28,6.94,2.78,3.33,5.56,1.94,1.39,0.56,33.3,6.67,11.9,47.5,3.89,0.00,0.00,0.28,35.8,0.56,1.11,1.39,4.72,Spiele
95,Tanguy Coulibaly\Tanguy-Coulibaly,fr FRA,DFFW,Stuttgart,19,2001,16.7,28.1,25.7,2.34,0.36,0.00,6.89,0.72,1.74,0.00,0.00,0.00,0.00,20.7,4.37,3.05,21.5,3.35,0.78,1.68,0.30,20.8,0.00,0.48,1.26,1.38,Spiele
96,Mickaël Cuisance\Mickael-Cuisance,fr FRA,FW,Bayern Munich,20,1999,0.2,50.0,50.0,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,40.0,10.0,0.00,45.0,5.00,0.00,0.00,0.00,45.0,0.00,0.00,0.00,0.00,Spiele
97,Matheus Cunha\Matheus-Cunha,br BRA,FWMF,Hertha BSC,21,1999,23.9,32.6,26.5,6.03,1.97,0.17,5.94,2.68,2.43,2.89,0.88,1.21,0.29,19.2,4.73,8.62,3.35,26.8,1.00,0.79,0.21,21.5,0.21,0.71,1.42,1.67,Spiele
98,Rafael Czichos\Rafael-Czichos,de GER,DF,Köln,30,1990,25.1,52.5,50.0,2.55,1.79,0.00,7.17,1.43,0.12,0.00,0.00,0.00,0.00,37.1,4.86,10.6,43.3,4.78,2.59,0.56,0.04,44.7,0.04,0.72,1.20,0.48,Spiele
99,Moanes Dabour\Moanes-Dabour,il ISR,FW,Hoffenheim,28,1992,11.1,31.1,29.6,1.44,0.27,0.18,7.93,0.09,0.72,0.09,0.09,0.00,0.00,20.1,6.94,4.05,2.07,25.5,1.08,0.45,0.54,22.8,0.00,0.27,0.72,1.53,Spiele
100,Finn Dahmen\Finn-Dahmen,de GER,TW,Mainz 05,22,1998,3.0,28.7,18.0,10.7,1.67,0.00,1.67,1.67,0.00,0.00,0.00,0.00,0.00,19.7,2.00,7.00,6.67,16.0,0.00,0.00,5.33,22.3,0.00,0.67,0.00,0.00,Spiele
101,Mahmoud Dahoud\Mahmoud-Dahoud,de GER,MF,Dortmund,24,1996,14.0,65.2,64.4,0.79,0.79,0.21,10.8,2.00,0.50,0.00,0.00,0.00,0.00,53.5,5.14,6.57,7.14,55.6,1.57,0.00,0.21,56.1,0.14,1.14,1.00,1.29,Spiele
102,Leon Dajaku\Leon-Dajaku,de GER,FW,Union Berlin,19,2001,0.4,32.5,32.5,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,25.0,7.50,0.00,2.50,27.5,0.00,0.00,0.00,27.5,0.00,0.00,0.00,2.50,Spiele
103,Tiago Dantas\Tiago-Dantas,pt POR,MF,Bayern Munich,19,2000,0.8,43.8,40.0,3.75,0.00,1.25,7.50,1.25,1.25,2.50,2.50,0.00,0.00,33.8,2.50,7.50,6.25,37.5,0.00,0.00,0.00,35.0,0.00,0.00,1.25,1.25,Spiele
104,Márton Dárdai\Marton-Dardai,de GER,DFMF,Hertha BSC,18,2002,9.1,55.6,51.4,4.18,2.42,0.22,6.26,2.97,0.88,1.54,1.10,0.33,0.11,35.9,4.07,15.6,48.1,5.27,1.32,0.22,0.00,44.6,0.11,0.88,1.10,0.66,Spiele
105,Vladimír Darida\Vladimir-Darida,cz CZE,MF,Hertha BSC,29,1990,21.1,47.1,42.9,4.17,1.94,0.19,7.06,2.32,2.13,1.14,0.24,0.47,0.19,27.6,7.54,11.9,10.2,33.0,1.52,1.00,0.47,34.1,0.24,0.95,0.95,1.94,Spiele
106,Alphonso Davies\Alphonso-Davies,ca CAN,DF,Bayern Munich,19,2000,19.6,76.7,66.4,10.4,1.79,0.00,8.11,0.77,1.43,0.00,0.00,0.00,0.00,59.7,11.8,5.20,53.8,12.4,1.17,8.57,0.10,68.3,0.05,0.77,1.53,1.68,Spiele
107,Thomas Delaney\Thomas-Delaney,dk DEN,MF,Dortmund,28,1991,14.3,58.2,56.9,1.33,1.12,0.00,7.55,1.54,0.63,0.00,0.00,0.00,0.00,41.8,6.29,10.1,44.3,9.86,2.24,0.14,0.56,48.7,0.28,1.12,1.19,1.05,Spiele
108,Kerem Demirbay\Kerem-Demirbay,de GER,MF,Leverkusen,27,1993,19.4,62.4,55.9,6.49,2.58,0.10,9.85,3.45,1.55,3.04,1.19,0.98,0.36,40.0,8.35,14.1,49.5,9.23,1.86,0.82,0.31,49.2,0.52,0.93,1.49,1.39,Spiele
109,Ermedin Demirovi?\Ermedin-Demirovic,ba BIH,FW,Freiburg,22,1998,16.6,16.0,15.1,0.90,0.00,0.18,5.48,0.18,0.66,0.00,0.00,0.00,0.00,9.40,4.04,2.53,0.84,11.7,1.14,0.06,0.36,9.28,0.12,0.36,0.54,1.02,Spiele
110,Emmanuel Dennis\Emmanuel-Dennis,ng NGA,FW,Köln,22,1997,5.3,26.2,24.0,2.26,0.19,0.00,5.09,0.19,1.70,0.00,0.00,0.00,0.00,18.1,5.28,2.83,4.15,19.2,0.75,0.38,0.75,18.5,0.00,1.13,0.57,1.89,Spiele
111,Mike van der Hoorn\Mike-van-der-Hoorn,nl NED,DF,Arminia,27,1992,15.1,54.8,53.2,1.59,1.59,0.07,8.08,2.25,0.00,0.00,0.00,0.00,0.00,40.9,3.38,10.5,7.22,43.1,2.12,0.00,0.00,47.7,0.20,0.73,0.66,0.33,Spiele
112,Moussa Diaby\Moussa-Diaby,fr FRA,FWMF,Leverkusen,21,1999,26.5,35.8,34.8,0.98,0.15,0.08,6.19,1.09,3.85,0.11,0.04,0.04,0.00,26.3,4.30,5.17,24.7,9.96,0.15,0.64,0.23,27.2,0.19,0.60,0.68,2.08,Spiele
113,Daniel Didavi\Daniel-Didavi,de GER,FWMF,Stuttgart,30,1990,10.8,39.7,36.3,3.43,1.02,0.19,6.02,0.93,1.76,1.20,0.37,0.37,0.37,27.8,5.65,6.30,32.8,3.98,1.02,1.02,0.28,29.4,0.19,0.74,0.93,1.76,Spiele
114,Javairô Dilrosun\Javairo-Dilrosun,nl NED,FWMF,Hertha BSC,22,1998,5.9,30.3,29.2,1.19,0.17,0.00,4.58,0.85,1.53,0.34,0.00,0.00,0.00,21.5,4.58,4.24,23.7,4.41,1.02,0.68,0.34,22.7,0.17,0.68,0.85,1.19,Spiele
115,Eren Dinkçi\Eren-Dinkci,de GER,FWMF,Werder Bremen,18,2001,1.2,22.5,22.5,0.00,0.00,0.00,8.33,0.00,0.83,0.00,0.00,0.00,0.00,16.7,0.83,5.00,3.33,17.5,0.00,0.00,0.00,16.7,0.00,0.83,0.00,0.00,Spiele
116,Ritsu Doan\Ritsu-Doan,jp JPN,MFFW,Arminia,22,1998,30.8,28.0,23.4,4.55,2.44,0.03,6.01,1.53,2.08,1.75,1.01,0.52,0.03,16.0,3.34,8.60,21.8,3.57,1.33,0.29,0.10,17.7,0.13,0.75,0.81,1.43,Spiele
117,Ji Dong-won\Ji-Dong-won,kr KOR,FWDF,Mainz 05,29,1991,0.7,38.6,37.1,1.43,0.00,0.00,11.4,0.00,0.00,0.00,0.00,0.00,0.00,21.4,11.4,5.71,7.14,20.0,4.29,0.00,1.43,21.4,0.00,0.00,0.00,2.86,Spiele
118,Bas Dost\Bas-Dost,nl NED,FW,Eint Frankfurt,31,1989,9.1,34.3,33.4,0.88,0.11,0.00,11.6,0.33,0.44,0.00,0.00,0.00,0.00,16.7,6.37,11.2,2.20,20.0,4.84,0.11,0.33,22.3,0.22,0.44,0.77,1.32,Spiele
119,Aleksandar Dragovi?\Aleksandar-Dragovic,at AUT,DF,Leverkusen,29,1991,12.6,84.0,77.1,6.83,2.38,0.08,8.41,3.25,0.40,0.00,0.00,0.00,0.00,64.4,9.05,10.6,12.8,62.5,2.62,4.29,0.16,74.8,0.00,1.27,1.19,0.87,Spiele
120,Dominick Drexler\Dominick-Drexler,de GER,MFFW,Köln,30,1990,13.7,39.1,37.1,2.04,0.36,0.15,8.83,0.44,2.70,0.00,0.00,0.00,0.00,26.4,7.30,5.47,2.04,33.3,1.61,1.39,0.15,30.0,0.07,0.88,0.95,2.04,Spiele
121,Ondrej Duda\Ondrej-Duda,sk SVK,FWMF,Köln,25,1994,28.2,44.3,38.4,5.96,2.20,0.11,8.62,2.87,1.81,2.73,0.96,1.28,0.11,26.0,7.20,11.2,4.93,36.0,1.60,0.11,0.50,31.8,0.50,0.89,1.13,1.49,Spiele
122,Erik Durm\Erik-Durm,de GER,DF,Eint Frankfurt,28,1992,16.4,44.9,35.3,9.57,0.24,0.12,6.59,1.22,2.32,0.00,0.00,0.00,0.00,22.5,9.57,12.8,8.54,24.1,1.59,9.33,0.24,31.5,0.06,1.22,1.16,2.13,Spiele
123,Johannes Eggestein\Johannes-Eggestein,de GER,FWMF,Werder Bremen,22,1998,0.4,42.5,42.5,0.00,0.00,0.00,12.5,0.00,2.50,0.00,0.00,0.00,0.00,22.5,7.50,12.5,15.0,22.5,5.00,0.00,0.00,27.5,0.00,5.00,0.00,2.50,Spiele
124,Maximilian Eggestein\Maximilian-Eggestein,de GER,MF,Werder Bremen,23,1996,32.7,41.8,40.6,1.22,0.80,0.15,7.49,1.04,0.46,0.06,0.00,0.03,0.00,28.7,5.17,7.89,6.42,32.0,2.02,0.34,0.09,32.9,0.09,0.67,1.47,1.31,Spiele
125,Lilian Egloff\Lilian-Egloff,de GER,MF,Stuttgart,17,2002,0.2,20.0,15.0,5.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,20.0,0.00,0.00,0.00,20.0,0.00,0.00,0.00,20.0,0.00,0.00,0.00,0.00,Spiele
126,Kingsley Ehizibue\Kingsley-Ehizibue,nl NED,DF,Köln,25,1995,12.6,46.3,35.7,10.6,0.79,0.00,5.79,0.48,2.30,0.00,0.00,0.00,0.00,25.3,11.0,10.0,1.51,31.3,2.62,9.68,0.24,34.4,0.00,0.71,1.03,1.98,Spiele
127,Nico Elvedi\Nico-Elvedi,ch SUI,DF,M'Gladbach,23,1996,28.2,66.4,64.5,1.91,1.67,0.04,6.17,1.38,0.07,0.00,0.00,0.00,0.00,57.0,4.40,5.04,18.2,43.7,2.80,0.25,0.04,61.6,0.04,0.50,0.35,0.67,Spiele
128,Breel Embolo\Breel-Embolo,ch SUI,FWMF,M'Gladbach,23,1997,16.0,28.7,27.1,1.56,0.19,0.00,8.06,0.25,0.63,0.00,0.00,0.00,0.00,20.6,5.44,2.69,3.00,20.8,2.06,0.00,1.38,20.9,0.31,0.63,0.94,1.56,Spiele
129,Keita Endo\Keita-Endo,jp JPN,MFFW,Union Berlin,22,1997,5.1,21.2,21.2,0.00,0.00,0.00,4.71,0.20,1.96,0.00,0.00,0.00,0.00,13.7,2.35,5.10,6.08,12.5,1.18,0.00,0.00,14.9,0.00,0.59,0.78,0.98,Spiele
130,Wataru Endo\Wataru-Endo,jp JPN,MF,Stuttgart,27,1993,32.8,55.1,54.1,1.01,0.85,0.12,11.0,1.01,0.15,0.00,0.00,0.00,0.00,42.6,5.34,7.10,9.94,41.2,2.07,0.15,0.21,46.3,0.15,0.82,1.34,1.19,Spiele
131,Patrick Erras\Patrick-Erras,de GER,MFFW,Werder Bremen,25,1995,0.3,110.0,110.0,0.00,0.00,0.00,26.7,0.00,0.00,0.00,0.00,0.00,0.00,53.3,6.67,50.0,26.7,40.0,16.7,0.00,3.33,66.7,0.00,0.00,0.00,6.67,Spiele
132,Ralf Fährmann\Ralf-Fahrmann,de GER,TW,Schalke 04,31,1988,20.8,39.7,27.0,12.6,3.80,0.00,2.26,1.06,0.00,0.00,0.00,0.00,0.00,18.9,1.44,19.3,3.56,28.4,0.00,0.00,5.58,26.0,0.14,0.53,0.24,0.05,Spiele
133,Ohis Felix Uduokhai\Ohis-Felix-Uduokhai,de GER,DF,Augsburg,22,1997,29.0,49.8,47.2,2.59,1.86,0.00,6.55,1.41,0.24,0.00,0.00,0.00,0.00,36.2,4.90,8.69,35.2,9.38,2.86,0.72,0.14,41.9,0.07,0.59,0.52,0.86,Spiele
134,Edimilson Fernandes\Edimilson-Fernandes,ch SUI,MFDF,Mainz 05,24,1996,9.3,38.4,34.2,4.19,0.86,0.00,4.52,1.94,1.40,1.29,0.65,0.65,0.00,24.7,3.98,9.68,4.62,29.5,1.83,2.04,0.00,28.1,0.11,0.65,1.51,0.97,Spiele
135,Alfreð Finnbogason\Alfred-Finnbogason,is ISL,FW,Augsburg,31,1989,6.0,29.3,27.8,1.50,0.17,0.33,8.33,0.50,1.67,0.17,0.00,0.00,0.00,16.7,7.50,5.17,5.67,17.8,2.83,0.17,0.83,18.5,0.17,0.50,1.33,1.33,Spiele
136,Mark Flekken\Mark-Flekken,nl NED,TW,Freiburg,27,1993,3.0,41.7,29.3,12.3,3.33,0.00,2.33,2.00,0.00,0.00,0.00,0.00,0.00,17.0,1.00,23.7,11.0,26.3,0.00,0.00,3.00,30.7,0.00,1.00,0.00,0.00,Spiele
137,Florian Flick\Florian-Flick,de GER,MF,Schalke 04,20,2000,4.0,27.5,26.0,1.50,1.25,0.00,8.00,0.50,0.00,0.00,0.00,0.00,0.00,19.3,3.75,4.50,1.75,24.5,0.75,0.00,0.00,22.8,0.00,0.50,0.50,1.00,Spiele
138,Emil Forsberg\Emil-Forsberg,se SWE,FWMF,RB Leipzig,28,1991,17.1,35.3,31.7,3.57,0.64,0.41,7.31,1.11,0.76,1.70,0.35,1.17,0.06,25.6,4.33,5.32,2.92,29.5,1.05,0.18,1.11,27.3,0.12,0.76,1.11,1.40,Spiele
139,Philipp Förster\Philipp-Forster,de GER,FWMF,Stuttgart,25,1995,16.8,42.4,40.5,1.96,0.54,0.00,9.82,0.30,1.13,0.48,0.30,0.12,0.06,33.0,5.71,3.75,34.3,5.18,1.13,0.83,0.42,33.6,0.36,0.42,1.67,2.02,Spiele
140,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Leverkusen,22,1998,4.5,78.2,68.7,9.56,1.11,0.00,12.0,2.22,1.11,0.00,0.00,0.00,0.00,55.6,11.1,11.6,8.67,57.6,1.78,8.44,0.00,67.6,0.00,0.22,1.56,0.89,Spiele
141,Raphael Framberger\Raphael-Framberger,de GER,DF,Augsburg,24,1995,17.1,43.2,32.7,10.5,0.58,0.06,7.37,0.88,2.46,0.00,0.00,0.00,0.00,18.4,14.4,10.4,0.99,28.5,2.75,9.88,0.12,28.5,0.23,1.46,1.52,2.34,Spiele
142,Marco Friedl\Marco-Friedl,at AUT,DF,Werder Bremen,22,1998,30.9,54.2,49.8,4.40,2.56,0.00,4.89,3.92,0.32,0.42,0.13,0.16,0.00,35.6,5.11,13.5,37.5,12.7,1.84,1.42,0.23,44.0,0.10,1.00,0.91,0.84,Spiele
143,Marvin Friedrich\Marvin-Friedrich,de GER,DF,Union Berlin,24,1995,34.0,53.1,51.8,1.29,1.06,0.03,6.38,1.56,0.26,0.00,0.00,0.00,0.00,36.5,4.65,11.9,6.97,42.0,2.18,0.24,0.26,43.0,0.15,0.91,1.00,0.91,Spiele
144,Jeremie Frimpong\Jeremie-Frimpong,nl NED,DFFW,Leverkusen,19,2000,4.8,58.1,49.6,8.54,0.21,0.00,7.08,0.42,3.33,0.00,0.00,0.00,0.00,41.0,10.6,6.46,5.42,43.1,0.83,8.33,0.00,48.3,0.21,0.21,1.25,2.71,Spiele
145,Niclas Füllkrug\Niclas-Fullkrug,de GER,FWMF,Werder Bremen,27,1993,9.7,26.7,25.6,1.13,0.00,0.00,8.66,0.41,0.31,0.00,0.00,0.00,0.00,10.4,8.04,8.25,3.30,13.3,4.43,0.41,0.93,15.6,0.10,0.21,1.13,1.75,Spiele
146,Mijat Ga?inovi?\Mijat-Gacinovic,rs SRB,DFMF,Hoffenheim,25,1995,9.1,48.6,40.8,7.80,0.66,0.00,5.16,1.32,1.98,0.55,0.11,0.22,0.11,27.9,12.5,8.13,9.12,29.3,2.53,6.48,0.44,37.1,0.00,0.77,0.99,2.86,Spiele
147,Christian Gebauer\Christian-Gebauer,at AUT,MFFW,Arminia,26,1993,7.6,25.3,24.5,0.79,0.26,0.00,5.39,0.53,1.05,0.13,0.00,0.00,0.00,13.8,5.00,6.45,3.16,18.6,2.11,0.39,0.39,16.6,0.13,0.66,0.66,1.84,Spiele
148,Theodor Gebre Selassie\Theodor-Gebre-Selassie,cz CZE,DF,Werder Bremen,33,1986,33.7,45.8,35.7,10.1,0.33,0.00,6.11,0.50,0.98,0.00,0.00,0.00,0.00,22.5,10.9,12.4,3.20,28.8,2.55,9.73,0.18,34.9,0.12,0.65,1.54,1.31,Spiele
149,Emrehan Gedikli\Emrehan-Gedikli,de GER,FW,Leverkusen,17,2003,0.3,16.7,13.3,3.33,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,13.3,3.33,0.00,3.33,10.0,3.33,0.00,0.00,13.3,0.00,0.00,0.00,0.00,Spiele
150,Dennis Geiger\Dennis-Geiger,de GER,MF,Hoffenheim,22,1998,7.3,48.5,41.9,6.58,3.29,0.14,8.22,2.19,1.64,3.15,1.10,1.51,0.14,34.7,3.97,9.86,4.66,42.3,0.55,0.14,0.55,40.0,0.27,0.27,0.82,0.96,Spiele
151,Christian Gentner\Christian-Gentner,de GER,MF,Union Berlin,34,1985,11.5,41.1,39.7,1.39,0.70,0.09,7.74,0.52,0.70,0.00,0.00,0.00,0.00,25.6,7.22,8.35,6.09,30.8,2.96,0.09,0.43,32.4,0.17,1.13,0.78,1.22,Spiele
152,Yannick Gerhardt\Yannick-Gerhardt,de GER,MFFW,Wolfsburg,26,1994,21.5,35.5,33.7,1.86,0.23,0.09,6.28,0.60,1.16,0.28,0.19,0.05,0.00,24.0,5.77,5.72,21.7,9.12,2.42,1.02,0.33,26.4,0.28,0.70,0.84,1.44,Spiele
153,Hamadi Al Ghaddioui\Hamadi-Al-Ghaddioui,ma MAR,FWMF,Stuttgart,29,1990,0.5,30.0,30.0,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,12.0,12.0,6.00,10.0,16.0,0.00,0.00,2.00,20.0,0.00,0.00,0.00,0.00,Spiele
154,Niko Gießelmann\Niko-Giesselmann,de GER,DF,Union Berlin,28,1991,4.8,51.7,41.5,10.2,1.88,0.00,7.92,0.83,3.96,0.00,0.00,0.00,0.00,22.9,13.8,15.0,35.0,4.38,2.08,8.33,0.00,33.1,0.42,1.67,1.25,2.29,Spiele
155,Rafa? Gikiewicz\Rafal-Gikiewicz,pl POL,TW,Augsburg,32,1987,34.0,41.1,29.1,12.1,3.32,0.00,3.24,0.65,0.00,0.00,0.00,0.00,0.00,18.6,3.03,19.6,6.59,26.1,0.00,0.00,6.32,28.6,0.12,0.91,0.41,0.03,Spiele
156,Daniel Ginczek\Daniel-Ginczek,de GER,FWMF,Wolfsburg,29,1991,2.4,31.7,31.3,0.42,0.00,0.00,12.9,0.00,0.42,0.00,0.00,0.00,0.00,15.4,9.17,7.08,2.08,20.0,3.75,0.00,0.83,18.3,0.42,0.83,0.83,2.08,Spiele
157,Matthias Ginter\Matthias-Ginter,de GER,DF,M'Gladbach,26,1994,34.0,68.9,66.5,2.41,1.65,0.09,5.18,1.32,0.47,0.00,0.00,0.00,0.00,49.4,5.68,13.8,9.59,54.4,2.74,0.76,0.15,59.1,0.12,0.44,1.24,0.59,Spiele
158,Robert Glatzel\Robert-Glatzel,de GER,FW,Mainz 05,26,1994,4.0,35.8,34.8,1.00,0.00,0.00,14.0,0.25,0.75,0.00,0.00,0.00,0.00,21.8,8.75,5.25,6.00,20.8,3.00,0.00,0.75,25.0,0.25,1.25,1.50,2.25,Spiele
159,Serge Gnabry\Serge-Gnabry,de GER,FWMF,Bayern Munich,25,1995,18.3,46.9,43.4,3.44,0.82,0.22,5.03,1.09,2.57,1.26,0.55,0.55,0.00,34.8,6.83,5.25,10.3,33.0,1.48,1.09,0.82,36.6,0.33,0.77,1.42,2.08,Spiele
160,Akaki Gogia\Akaki-Gogia,de GER,FWMF,Union Berlin,28,1992,1.6,35.6,35.0,0.63,0.63,0.00,5.63,0.63,1.88,0.00,0.00,0.00,0.00,23.8,7.50,4.38,13.1,20.0,1.88,0.00,0.00,28.8,0.00,0.63,0.63,1.88,Spiele
161,Nicolás González\Nicolas-Gonzalez,ar ARG,FWDF,Stuttgart,22,1998,10.4,23.2,20.8,2.40,0.10,0.29,4.81,0.38,1.35,0.10,0.00,0.00,0.00,13.6,4.52,5.10,15.8,2.31,1.73,0.67,0.58,14.2,0.10,0.96,1.06,1.54,Spiele
162,Leon Goretzka\Leon-Goretzka,de GER,MF,Bayern Munich,25,1995,18.9,56.0,54.9,1.16,0.85,0.11,6.88,1.80,0.42,0.00,0.00,0.00,0.00,41.3,6.72,7.99,3.49,47.9,2.43,0.16,0.26,49.3,0.11,0.48,0.79,0.90,Spiele
163,Jeffrey Gouweleeuw\Jeffrey-Gouweleeuw,nl NED,DF,Augsburg,29,1991,31.5,49.5,46.4,3.11,2.95,0.03,6.32,1.65,0.13,0.00,0.00,0.00,0.00,32.9,3.37,13.3,4.92,41.1,2.48,0.16,0.19,39.8,0.25,1.08,0.89,0.79,Spiele
164,Demarai Gray\Demarai-Gray,eng ENG,FW,Leverkusen,24,1996,4.9,36.5,32.2,4.29,0.41,0.00,6.73,2.24,4.49,2.45,1.02,1.02,0.00,22.9,5.10,8.57,5.10,29.6,0.41,1.43,0.00,24.5,0.20,1.02,0.82,1.63,Spiele
165,Michael Gregoritsch\Michael-Gregoritsch,at AUT,FWMF,Augsburg,26,1994,9.3,28.5,26.7,1.83,0.22,0.22,6.88,0.75,1.40,0.11,0.11,0.00,0.00,15.4,6.24,6.88,17.5,5.70,2.80,0.43,0.43,18.4,0.65,0.75,1.18,1.40,Spiele
166,Sebastian Griesbeck\Sebastian-Griesbeck,de GER,MF,Union Berlin,29,1990,9.9,23.4,22.6,0.81,0.30,0.00,3.74,0.51,0.30,0.10,0.00,0.00,0.00,14.5,3.74,5.15,5.86,13.5,2.53,0.00,0.20,17.4,0.10,0.81,0.51,0.81,Spiele
167,Vincenzo Grifo\Vincenzo-Grifo,it ITA,MFFW,Freiburg,27,1993,25.7,44.3,39.1,5.21,1.98,0.23,6.73,2.57,2.41,2.49,1.01,0.97,0.16,28.4,5.49,10.4,4.24,37.5,1.63,0.43,0.16,33.0,0.08,0.70,1.44,1.83,Spiele
168,Lennart Grill\Lennart-Grill,de GER,TW,Leverkusen,21,1999,4.0,40.3,32.8,7.50,1.25,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,33.0,1.25,6.00,7.50,25.8,0.00,0.00,6.50,36.0,0.00,0.50,0.25,0.00,Spiele
169,Florian Grillitsch\Florian-Grillitsch,at AUT,MFDF,Hoffenheim,24,1995,20.9,67.6,64.3,3.30,2.78,0.10,11.4,2.39,0.53,0.05,0.00,0.00,0.00,49.6,6.70,11.3,7.22,55.7,3.21,0.43,0.19,58.0,0.10,0.53,1.20,1.29,Spiele
170,Christian Groß\Christian-Gross,de GER,MFDF,Werder Bremen,31,1989,16.3,52.8,51.3,1.53,1.29,0.00,5.83,0.67,0.06,0.00,0.00,0.00,0.00,40.9,4.60,7.36,5.64,43.8,2.33,0.12,0.12,45.5,0.18,0.49,0.92,0.67,Spiele
171,Ilia Gruev\Ilia-Gruev,bg BUL,FW,Werder Bremen,20,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Spiele
172,Carlos Gruezo\Carlos-Gruezo,ec ECU,MF,Augsburg,25,1995,23.2,34.6,34.1,0.56,0.52,0.04,8.15,1.59,0.04,0.00,0.00,0.00,0.00,22.9,4.44,7.28,2.97,29.4,1.85,0.04,0.09,27.8,0.00,1.08,0.65,0.91,Spiele
173,Mattéo Guendouzi\Matteo-Guendouzi,fr FRA,MF,Hertha BSC,21,1999,20.2,50.6,48.1,2.48,1.88,0.10,7.87,2.13,0.30,0.25,0.00,0.10,0.00,39.6,5.10,5.94,4.11,43.2,2.18,0.35,0.25,42.9,0.35,0.64,0.74,1.44,Spiele
174,Raphaël Guerreiro\Raphael-Guerreiro,pt POR,DF,Dortmund,26,1993,24.6,87.2,77.4,9.84,1.38,0.41,8.01,1.22,1.83,1.22,0.53,0.28,0.00,64.1,12.8,10.4,73.7,4.63,1.38,7.24,0.12,75.5,0.12,0.53,2.56,1.79,Spiele
175,Josuha Guilavogui\Josuha-Guilavogui,fr FRA,MFDF,Wolfsburg,29,1990,8.3,51.8,51.1,0.72,0.48,0.00,6.39,2.05,0.12,0.00,0.00,0.00,0.00,34.9,7.95,8.92,5.18,41.3,3.25,0.24,0.24,43.5,0.24,0.48,1.08,0.84,Spiele
176,Péter Gulácsi\Peter-Gulacsi,hu HUN,TW,RB Leipzig,30,1990,33.0,35.4,28.8,6.67,1.64,0.06,2.30,0.55,0.00,0.00,0.00,0.00,0.00,25.5,1.39,8.52,3.12,26.1,0.03,0.00,5.18,30.7,0.03,0.36,0.09,0.03,Spiele
177,Manuel Gulde\Manuel-Gulde,de GER,DF,Freiburg,29,1991,21.7,46.8,45.8,1.01,0.88,0.00,6.41,0.74,0.14,0.00,0.00,0.00,0.00,36.5,4.38,5.85,13.6,28.9,2.44,0.14,0.28,41.4,0.09,0.51,0.37,0.41,Spiele
178,Robert Gumny\Robert-Gumny,pl POL,DF,Augsburg,22,1998,15.3,38.9,29.5,9.41,0.39,0.00,6.21,0.39,1.50,0.00,0.00,0.00,0.00,20.5,9.87,8.56,3.33,23.9,1.76,9.02,0.07,29.0,0.13,0.92,1.44,2.03,Spiele
179,Christian Günter\Christian-Gunter,de GER,DF,Freiburg,27,1993,34.0,48.7,36.6,12.1,1.68,0.03,6.06,2.62,3.68,1.62,0.82,0.41,0.12,22.9,12.7,13.0,31.5,6.91,0.91,8.82,0.12,35.4,0.26,1.15,1.06,2.03,Spiele
180,Erling Haaland\Erling-Haaland,no NOR,FW,Dortmund,20,2000,26.7,18.4,16.8,1.57,0.00,0.04,4.72,0.15,0.49,0.00,0.00,0.00,0.00,12.8,3.67,1.91,12.4,3.52,0.97,0.04,0.41,13.5,0.19,0.37,0.67,0.75,Spiele
