Rg,Spieler,Land,Pos,Verein,Alt,Geboren,90,Tkl,TklG,Def. 1/3,Mit. 1/3,Off. 1/3,Tkl,Ver,Tkl%,Ausg,Pressen,Erf.,%,Def. 1/3,Mit. 1/3,Off. 1/3,Blocks,Sc,Schuss abgewehrt,Pass,Abg,Ang+Abf,Aufkl.,Fe.,Spiele
34,Oliver Baumann\Oliver-Baumann,de GER,TW,Hoffenheim,30,1990,31.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.16,0.03,200,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,Spiele
35,Julian Baumgartlinger\Julian-Baumgartlinger,at AUT,MF,Leverkusen,32,1988,11.9,3.87,2.35,1.51,2.10,0.25,1.34,2.86,471,1.51,16.6,6.97,419,4.79,9.66,2.18,1.68,0.00,0.00,1.68,1.43,5.29,1.60,0.00,Spiele
36,Christoph Baumgartner\Christoph-Baumgartner,at AUT,MFFW,Hoffenheim,20,1999,26.3,2.02,1.44,0.76,0.87,0.38,0.53,2.28,233,1.75,21.7,6.96,320,4.60,10.7,6.43,1.75,0.34,0.00,1.41,0.72,2.74,0.72,0.00,Spiele
37,Noah Joel Sarenren Bazee\Noah-Joel-Sarenren-Bazee,ng NGA,FWMF,Augsburg,23,1996,0.4,2.50,2.50,0.00,2.50,0.00,2.50,2.50,1000,0.00,25.0,7.50,300,2.50,22.5,0.00,2.50,0.00,0.00,2.50,5.00,7.50,0.00,0.00,Spiele
38,Ihlas Bebou\Ihlas-Bebou,tg TOG,FW,Hoffenheim,26,1994,24.4,1.23,0.82,0.33,0.49,0.41,0.33,0.61,533,0.29,14.8,4.75,321,1.39,5.74,7.66,1.07,0.29,0.00,0.78,0.53,1.76,0.86,0.04,Spiele
39,Sheraldo Becker\Sheraldo-Becker,sr SUR,FWMF,Union Berlin,25,1995,12.3,0.65,0.57,0.24,0.24,0.16,0.24,0.41,600,0.16,10.5,3.17,302,1.79,5.04,3.66,0.81,0.00,0.00,0.81,0.41,1.06,0.41,0.00,Spiele
40,Timo Becker\Timo-Becker,de GER,DF,Schalke 04,23,1997,18.2,2.09,1.04,1.87,0.22,0.00,0.82,1.59,517,0.77,14.5,4.78,330,8.13,5.11,1.26,2.31,0.27,0.00,2.03,1.81,3.90,2.69,0.05,Spiele
41,Brian Behrendt\Brian-Behrendt,de GER,DF,Arminia,28,1991,0.9,2.22,1.11,0.00,2.22,0.00,0.00,1.11,00,1.11,14.4,3.33,231,5.56,8.89,0.00,0.00,0.00,0.00,0.00,0.00,2.22,1.11,0.00,Spiele
42,Maximilian Beier\Maximilian-Beier,de GER,FWDF,Hoffenheim,17,2002,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,50.0,20.0,400,0.00,30.0,20.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
43,Ishak Belfodil\Ishak-Belfodil,dz ALG,FW,Hoffenheim,28,1992,6.6,0.45,0.30,0.15,0.00,0.30,0.00,0.15,00,0.15,8.18,1.97,241,0.76,1.97,5.45,0.45,0.15,0.00,0.30,0.00,0.45,0.61,0.00,Spiele
