Rg,Spieler,Land,Pos,Verein,Alt,Geboren,90,Tkl,TklG,Def. 1/3,Mit. 1/3,Off. 1/3,Tkl,Ver,Tkl%,Ausg,Pressen,Erf.,%,Def. 1/3,Mit. 1/3,Off. 1/3,Blocks,Sc,Schuss abgewehrt,Pass,Abg,Ang+Abf,Aufkl.,Fe.,Spiele
192,Dominique Heintz\Dominique-Heintz,de GER,DF,Freiburg,26,1993,15.2,1.91,1.05,1.58,0.33,0.00,0.53,1.25,421,0.72,10.1,3.75,370,5.99,3.82,0.33,1.45,0.79,0.07,0.66,1.38,3.29,4.01,0.00,Spiele
193,Benjamin Henrichs\Benjamin-Henrichs,de GER,DFMF,RB Leipzig,23,1997,6.0,2.83,1.83,1.17,1.00,0.67,0.33,1.00,333,0.67,15.3,5.33,348,5.33,7.00,3.00,2.50,0.33,0.00,2.17,1.50,4.33,1.50,0.00,Spiele
194,Lucas Hernández\Lucas-Hernandez,fr FRA,DF,Bayern Munich,24,1996,17.7,2.82,1.53,1.41,0.96,0.45,1.07,2.20,487,1.13,14.0,5.25,377,5.76,5.59,2.60,2.03,0.40,0.00,1.64,1.13,3.95,3.28,0.00,Spiele
195,Patrick Herrmann\Patrick-Herrmann,de GER,FW,M'Gladbach,29,1991,9.7,1.65,1.24,0.82,0.31,0.52,0.31,1.55,200,1.24,13.3,4.33,326,2.37,5.46,5.46,1.55,0.00,0.00,1.55,0.82,2.47,0.82,0.00,Spiele
196,Martin Hinteregger\Martin-Hinteregger,at AUT,DF,Eint Frankfurt,27,1992,28.1,2.70,1.53,1.85,0.78,0.07,1.14,2.63,432,1.49,12.2,4.34,356,7.26,4.23,0.71,1.60,0.53,0.00,1.07,1.28,3.99,5.12,0.11,Spiele
197,Marwin Hitz\Marwin-Hitz,ch SUI,TW,Dortmund,32,1987,15.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
198,Nicolas Höfler\Nicolas-Hofler,de GER,MF,Freiburg,30,1990,30.3,2.51,1.45,0.89,1.29,0.33,0.79,2.24,353,1.45,18.9,4.92,260,5.61,10.5,2.84,1.75,0.33,0.00,1.42,1.75,4.26,1.62,0.07,Spiele
199,Jonas Hofmann\Jonas-Hofmann,de GER,FWMF,M'Gladbach,28,1992,20.2,1.53,0.99,0.54,0.79,0.20,0.54,3.02,180,2.48,22.7,5.40,238,5.20,11.3,6.14,1.83,0.10,0.00,1.73,1.53,3.07,0.94,0.00,Spiele
200,Marco Höger\Marco-Hoger,de GER,DFMF,Köln,30,1989,0.6,5.00,5.00,0.00,5.00,0.00,1.67,5.00,333,3.33,25.0,10.0,400,13.3,11.7,0.00,1.67,0.00,0.00,1.67,1.67,6.67,6.67,0.00,Spiele
201,Lucas Höler\Lucas-Holer,de GER,FWMF,Freiburg,26,1994,23.2,1.34,0.78,0.47,0.56,0.30,0.39,1.55,250,1.16,19.7,5.99,305,3.84,8.41,7.41,1.21,0.17,0.00,1.03,0.65,1.98,0.73,0.09,Spiele
202,Matthew Hoppe\Matthew-Hoppe,us USA,FW,Schalke 04,19,2001,14.5,0.90,0.69,0.21,0.55,0.14,0.14,0.55,250,0.41,17.3,4.48,259,2.76,7.66,6.90,0.90,0.21,0.00,0.69,0.62,1.52,0.97,0.00,Spiele
203,Jannes Horn\Jannes-Horn,de GER,DF,Köln,23,1997,19.6,1.68,0.97,1.22,0.41,0.05,0.71,1.58,452,0.87,11.4,3.37,295,6.94,3.88,0.61,1.53,0.10,0.00,1.43,0.92,2.60,3.67,0.05,Spiele
204,Timo Horn\Timo-Horn,de GER,TW,Köln,27,1993,33.4,0.00,0.00,0.00,0.00,0.00,0.00,0.12,00,0.12,0.18,0.03,167,0.15,0.03,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,Spiele
205,Lukáš Hrádecký\Lukas-Hradecky,fi FIN,TW,Leverkusen,30,1989,28.5,0.00,0.00,0.00,0.00,0.00,0.00,0.04,00,0.04,0.18,0.04,200,0.14,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,Spiele
206,Ajdin Hrustic\Ajdin-Hrustic,au AUS,MFFW,Eint Frankfurt,24,1996,3.0,1.67,1.67,1.00,0.33,0.33,0.67,2.00,333,1.33,17.3,4.33,250,4.67,7.67,5.00,1.33,0.00,0.00,1.33,1.00,2.67,1.00,0.00,Spiele
207,Florian Hübner\Florian-Hubner,de GER,DF,Union Berlin,29,1991,5.8,1.38,0.69,1.03,0.34,0.00,0.86,2.41,357,1.55,12.8,3.62,284,7.07,5.34,0.34,2.07,0.52,0.00,1.55,1.90,3.28,5.69,0.00,Spiele
208,Mats Hummels\Mats-Hummels,de GER,DF,Dortmund,31,1988,31.3,2.08,1.28,1.31,0.61,0.16,0.70,1.53,458,0.83,8.53,3.23,378,4.73,3.45,0.35,1.28,0.73,0.03,0.54,2.17,4.25,5.88,0.03,Spiele
209,Klaas-Jan Huntelaar\Klaas-Jan-Huntelaar,nl NED,FW,Schalke 04,36,1983,6.5,0.46,0.31,0.00,0.31,0.15,0.00,0.62,00,0.62,16.0,4.00,250,2.15,6.31,7.54,0.31,0.15,0.00,0.15,0.46,0.92,0.77,0.00,Spiele
210,Iago\Iago,br BRA,DF,Augsburg,23,1997,17.3,2.08,1.16,0.98,0.75,0.35,0.58,1.50,385,0.92,12.9,4.68,363,5.66,5.32,1.91,2.60,0.35,0.00,2.25,1.10,3.18,3.24,0.00,Spiele
211,Vedad Ibiševi?\Vedad-Ibisevic,ba BIH,FW,Schalke 04,35,1984,1.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,9.41,2.94,313,0.00,6.47,2.94,1.76,0.59,0.00,1.18,0.00,0.00,0.59,0.00,Spiele
212,Blendi Idrizi\Blendi-Idrizi,xk KVX,MF,Schalke 04,22,1998,2.6,3.46,1.92,0.38,2.31,0.77,0.00,0.00,,0.00,21.9,9.23,421,10.0,8.46,3.46,3.08,1.15,0.00,1.92,3.85,7.31,0.38,0.00,Spiele
213,Stefan Ilsanker\Stefan-Ilsanker,at AUT,MFDF,Eint Frankfurt,31,1989,17.5,2.63,1.60,1.49,1.03,0.11,0.80,2.17,368,1.37,16.9,4.97,294,7.60,8.11,1.20,2.46,0.74,0.00,1.71,1.37,4.00,3.43,0.06,Spiele
214,Marcus Ingvartsen\Marcus-Ingvartsen,dk DEN,MFFW,Union Berlin,24,1996,21.8,1.10,0.64,0.41,0.55,0.14,0.41,1.28,321,0.87,17.2,5.09,296,4.04,8.99,4.17,1.38,0.05,0.00,1.33,1.38,2.48,0.73,0.05,Spiele
215,Ismail Jakobs\Ismail-Jakobs,de GER,DFMF,Köln,20,1999,19.2,1.56,0.63,1.04,0.26,0.26,0.68,1.30,520,0.63,14.4,3.75,260,5.89,4.95,3.59,1.72,0.00,0.00,1.72,0.94,2.50,1.88,0.00,Spiele
216,Tony Jantschke\Tony-Jantschke,de GER,DF,M'Gladbach,30,1990,3.0,3.00,2.33,1.67,1.33,0.00,1.33,2.33,571,1.00,8.00,4.00,500,3.33,3.67,1.00,3.33,2.00,0.00,1.33,1.33,4.33,3.00,0.00,Spiele
217,Rune Jarstein\Rune-Jarstein,no NOR,TW,Hertha BSC,35,1984,8.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.25,0.00,00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,Spiele
218,Tin Jedvaj\Tin-Jedvaj,hr CRO,DF,Leverkusen,24,1995,1.7,2.35,0.00,1.18,1.18,0.00,0.59,1.76,333,1.18,15.3,2.94,192,6.47,6.47,2.35,1.18,0.59,0.00,0.59,2.35,4.71,8.82,0.00,Spiele
219,Fredrik Jensen\Fredrik-Jensen,fi FIN,FWMF,Augsburg,22,1997,4.2,0.95,0.48,0.48,0.24,0.24,0.71,1.67,429,0.95,16.4,2.86,174,2.86,7.38,6.19,0.71,0.24,0.00,0.48,1.19,2.14,1.67,0.00,Spiele
220,Marco John\Marco-John,de GER,DF,Hoffenheim,18,2002,11.1,1.62,1.08,0.63,0.72,0.27,0.45,1.71,263,1.26,13.1,4.86,372,4.41,5.68,2.97,2.79,0.09,0.00,2.70,1.17,2.79,1.80,0.00,Spiele
221,Luka Jovi?\Luka-Jovic,rs SRB,FWMF,Eint Frankfurt,22,1997,9.9,0.40,0.40,0.00,0.20,0.20,0.10,0.51,200,0.40,10.0,2.63,263,0.51,3.84,5.66,0.51,0.00,0.00,0.51,0.10,0.51,0.40,0.00,Spiele
222,Ozan Kabak\Ozan-Kabak,tr TUR,DF,Schalke 04,20,2000,13.8,1.45,0.80,1.09,0.29,0.07,0.43,1.16,375,0.72,10.9,3.41,311,7.54,3.04,0.36,2.17,1.01,0.00,1.16,1.16,2.61,5.51,0.14,Spiele
223,Pavel Kade?ábek\Pavel-Kaderabek,cz CZE,DF,Hoffenheim,28,1992,17.6,1.19,0.85,0.51,0.34,0.34,0.45,1.31,348,0.85,8.01,2.22,277,2.33,3.18,2.50,1.08,0.17,0.00,0.91,0.97,2.16,1.93,0.00,Spiele
224,Florian Kainz\Florian-Kainz,at AUT,FWMF,Köln,27,1992,5.0,1.00,0.80,0.20,0.60,0.20,0.00,0.80,00,0.80,11.6,3.40,293,2.00,5.40,4.20,1.60,0.00,0.00,1.60,1.00,2.00,1.00,0.00,Spiele
225,Sasa Kalajdzic\Sasa-Kalajdzic,at AUT,FW,Stuttgart,23,1997,23.7,0.63,0.25,0.08,0.25,0.30,0.04,0.93,45,0.89,16.4,4.18,255,0.72,6.50,9.16,0.80,0.13,0.00,0.68,0.30,0.93,0.72,0.00,Spiele
226,Daichi Kamada\Daichi-Kamada,jp JPN,MFFW,Eint Frankfurt,23,1996,26.2,1.98,1.11,0.92,0.65,0.42,0.76,2.40,317,1.64,20.0,5.99,300,3.40,9.89,6.68,1.18,0.08,0.00,1.11,0.99,2.98,0.88,0.00,Spiele
227,Marcin Kami?ski\Marcin-Kaminski,pl POL,DF,Stuttgart,28,1992,2.4,0.42,0.42,0.00,0.00,0.42,0.00,0.00,,0.00,3.75,1.25,333,2.08,1.67,0.00,1.67,0.42,0.00,1.25,0.42,0.83,5.83,0.00,Spiele
228,Kevin Kampl\Kevin-Kampl,si SVN,MF,RB Leipzig,29,1990,21.5,2.33,1.95,0.79,1.26,0.28,0.56,1.49,375,0.93,18.2,7.12,391,4.88,10.5,2.79,1.40,0.14,0.00,1.26,1.40,3.72,1.02,0.00,Spiele
229,Jimmy Kaparos\Jimmy-Kaparos,de GER,MF,Schalke 04,18,2001,0.2,0.00,0.00,0.00,0.00,0.00,0.00,5.00,00,5.00,20.0,0.00,00,15.0,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
230,Atakan Karazor\Atakan-Karazor,de GER,DFMF,Stuttgart,23,1996,11.5,2.00,1.22,1.22,0.78,0.00,0.87,1.65,526,0.78,15.3,5.83,381,7.83,5.91,1.57,1.91,0.52,0.00,1.39,1.57,3.57,5.39,0.09,Spiele
231,Loris Karius\Loris-Karius,de GER,TW,Union Berlin,27,1993,3.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
232,Silas Katompa\Silas-Katompa,cd COD,DFFW,Stuttgart,21,1998,21.3,2.35,1.41,1.31,0.75,0.28,0.99,2.21,447,1.22,14.7,4.23,288,4.37,6.06,4.27,1.83,0.09,0.00,1.74,1.08,3.43,0.61,0.05,Spiele
233,Noah Katterbach\Noah-Katterbach,de GER,DF,Köln,19,2001,12.3,1.79,1.22,1.14,0.49,0.16,0.41,1.79,227,1.38,11.7,3.74,319,5.93,4.63,1.14,1.22,0.16,0.08,1.06,0.89,2.68,2.36,0.00,Spiele
234,Yannik Keitel\Yannik-Keitel,de GER,MF,Freiburg,20,2000,5.5,2.36,1.45,1.09,1.09,0.18,0.73,1.27,571,0.55,16.2,5.45,337,6.36,7.27,2.55,1.64,0.36,0.00,1.27,1.82,4.18,2.00,0.00,Spiele
235,Marc-Oliver Kempf\Marc-Oliver-Kempf,de GER,DF,Stuttgart,25,1995,30.3,2.08,1.39,1.52,0.43,0.13,0.83,1.68,490,0.86,9.44,3.37,357,5.45,3.47,0.53,2.15,1.02,0.00,1.12,1.72,3.80,4.36,0.03,Spiele
236,Rani Khedira\Rani-Khedira,de GER,MF,Augsburg,26,1994,20.2,1.78,0.99,0.79,0.89,0.10,0.45,1.19,375,0.74,16.6,4.85,292,5.25,9.11,2.28,1.29,0.30,0.00,0.99,1.14,2.92,2.82,0.00,Spiele
237,Sami Khedira\Sami-Khedira,de GER,MF,Hertha BSC,33,1987,4.4,2.27,1.82,0.68,1.14,0.45,1.14,2.50,455,1.36,15.0,5.00,333,5.00,6.82,3.18,1.14,0.23,0.00,0.91,2.27,4.55,2.05,0.23,Spiele
238,Luca Kilian\Luca-Kilian,de GER,DF,Mainz 05,20,1999,4.2,3.33,0.95,2.38,0.71,0.24,0.48,2.38,200,1.90,9.05,4.05,447,5.24,3.57,0.24,1.43,0.48,0.00,0.95,0.24,3.57,3.57,0.24,Spiele
239,Joshua Kimmich\Joshua-Kimmich,de GER,MF,Bayern Munich,25,1995,24.4,1.84,1.39,0.66,0.94,0.25,0.66,2.54,258,1.89,17.6,5.61,319,5.16,9.14,3.28,1.39,0.20,0.00,1.19,1.68,3.52,1.07,0.00,Spiele
240,Davy Klaassen\Davy-Klaassen,nl NED,MF,Werder Bremen,27,1993,2.5,1.20,0.80,0.40,0.40,0.40,0.00,0.80,00,0.80,23.6,8.00,339,3.60,14.0,6.00,3.60,0.40,0.00,3.20,0.80,2.00,0.00,0.00,Spiele
241,Felix Klaus\Felix-Klaus,de GER,DFMF,Wolfsburg,27,1992,1.5,6.00,5.33,2.00,3.33,0.67,2.00,3.33,600,1.33,23.3,10.7,457,8.00,9.33,6.00,3.33,0.00,0.00,3.33,0.00,6.00,4.00,0.00,Spiele
242,Klauss\Klauss,br BRA,FWDF,Hoffenheim,23,1997,0.6,0.00,0.00,0.00,0.00,0.00,0.00,1.67,00,1.67,18.3,6.67,364,0.00,5.00,13.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
243,Philipp Klement\Philipp-Klement,de GER,MFFW,Stuttgart,27,1992,4.7,1.91,1.06,1.28,0.21,0.43,0.64,2.55,250,1.91,22.6,5.74,255,9.36,8.09,5.11,1.70,0.43,0.00,1.28,1.06,2.98,2.34,0.00,Spiele
244,Mateo Klimowicz\Mateo-Klimowicz,de GER,FWMF,Stuttgart,20,2000,13.3,1.80,1.05,0.45,0.83,0.53,0.30,1.35,222,1.05,17.4,5.19,297,2.93,6.39,8.12,0.83,0.08,0.00,0.75,0.23,2.03,0.30,0.00,Spiele
245,Fabian Klos\Fabian-Klos,de GER,FW,Arminia,32,1987,30.1,0.86,0.47,0.30,0.37,0.20,0.23,1.13,206,0.90,16.9,4.68,278,1.79,8.60,6.48,0.66,0.20,0.03,0.47,0.33,1.20,0.93,0.00,Spiele
246,Lukas Klostermann\Lukas-Klostermann,de GER,DF,RB Leipzig,24,1996,16.1,1.61,0.81,0.87,0.56,0.19,0.50,1.18,421,0.68,11.1,4.53,410,4.72,4.72,1.61,2.05,0.50,0.00,1.55,1.18,2.80,3.29,0.00,Spiele
247,Justin Kluivert\Justin-Kluivert,nl NED,FW,RB Leipzig,21,1999,9.0,0.56,0.33,0.11,0.33,0.11,0.11,0.67,167,0.56,14.0,3.89,278,2.33,6.00,5.67,1.22,0.00,0.00,1.22,0.33,0.89,0.56,0.00,Spiele
248,Lukas Klünter\Lukas-Klunter,de GER,DF,Hertha BSC,24,1996,11.0,1.09,0.64,0.73,0.36,0.00,0.36,0.73,500,0.36,9.73,3.27,336,5.27,3.64,0.82,1.18,0.09,0.00,1.09,1.18,2.27,4.27,0.00,Spiele
249,Ansgar Knauff\Ansgar-Knauff,de GER,FWMF,Dortmund,18,2002,0.8,1.25,0.00,0.00,1.25,0.00,0.00,1.25,00,1.25,26.3,3.75,143,7.50,16.3,2.50,2.50,1.25,0.00,1.25,1.25,2.50,2.50,0.00,Spiele
250,Robin Knoche\Robin-Knoche,de GER,DF,Union Berlin,28,1992,33.8,1.48,1.01,0.98,0.47,0.03,0.53,1.18,450,0.65,10.2,3.93,384,6.39,3.31,0.53,1.75,0.86,0.03,0.89,1.27,2.75,5.68,0.06,Spiele
251,Gregor Kobel\Gregor-Kobel,ch SUI,TW,Stuttgart,22,1997,33.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.03,0.03,1000,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,Spiele
252,Dominik Kohr\Dominik-Kohr,de GER,MFFW,Eint Frankfurt,26,1994,2.9,5.86,3.79,0.69,3.45,1.72,1.03,2.07,500,1.03,25.5,9.66,378,5.17,15.2,5.17,2.41,0.34,0.00,2.07,1.72,7.59,3.10,0.00,Spiele
253,Dominik Kohr\Dominik-Kohr,de GER,MF,Mainz 05,26,1994,14.1,3.40,2.06,1.28,1.56,0.57,0.78,2.55,306,1.77,21.2,7.09,334,5.96,11.4,3.83,1.70,0.35,0.00,1.35,2.06,5.46,2.77,0.00,Spiele
254,Sead Kolašinac\Sead-Kolasinac,ba BIH,DFMF,Schalke 04,27,1993,15.8,1.52,0.89,0.76,0.63,0.13,0.82,1.65,500,0.82,11.6,3.29,283,4.81,5.13,1.71,1.20,0.25,0.00,0.95,2.28,3.80,1.33,0.00,Spiele
255,Ibrahima Konaté\Ibrahima-Konate,fr FRA,DF,RB Leipzig,21,1999,7.7,1.30,0.65,0.78,0.52,0.00,0.26,0.91,286,0.65,7.27,1.95,268,3.25,3.77,0.26,1.30,0.52,0.00,0.78,1.30,2.60,5.32,0.00,Spiele
256,Filip Kosti?\Filip-Kostic,rs SRB,DF,Eint Frankfurt,27,1992,28.2,2.13,1.21,1.06,0.67,0.39,0.82,2.09,390,1.28,15.4,4.96,323,5.07,6.03,4.29,2.38,0.21,0.00,2.16,1.10,3.23,1.17,0.04,Spiele
257,Nianzou Kouassi\Nianzou-Kouassi,fr FRA,DFMF,Bayern Munich,18,2002,1.3,1.54,0.77,1.54,0.00,0.00,0.77,0.77,1000,0.00,6.92,2.31,333,3.85,3.08,0.00,0.00,0.00,0.00,0.00,0.77,2.31,6.15,0.00,Spiele
258,Andrej Kramari?\Andrej-Kramaric,hr CRO,FWMF,Hoffenheim,29,1991,26.4,0.30,0.19,0.15,0.08,0.08,0.15,0.42,364,0.27,7.20,2.65,368,0.95,2.61,3.64,0.64,0.11,0.00,0.53,0.45,0.76,0.27,0.04,Spiele
259,Christoph Kramer\Christoph-Kramer,de GER,MF,M'Gladbach,29,1991,22.6,2.70,1.73,1.15,1.24,0.31,0.88,2.74,323,1.86,17.0,5.84,343,5.88,9.29,1.86,1.90,0.44,0.00,1.46,1.59,4.29,2.43,0.00,Spiele
260,Max Kruse\Max-Kruse,de GER,FWMF,Union Berlin,32,1988,18.1,0.50,0.22,0.22,0.22,0.06,0.11,0.72,154,0.61,10.6,3.43,325,1.05,5.75,3.76,0.94,0.00,0.00,0.94,0.28,0.77,0.39,0.00,Spiele
261,Lukas Kübler\Lukas-Kubler,de GER,DF,Freiburg,27,1992,9.8,2.04,1.33,1.53,0.31,0.20,0.82,1.84,444,1.02,15.2,3.88,255,8.78,5.20,1.22,1.63,0.31,0.00,1.33,1.73,3.78,3.47,0.00,Spiele
262,Pierre Kunde\Pierre-Kunde,cm CMR,MF,Mainz 05,25,1995,5.7,2.11,1.05,0.53,1.40,0.18,0.18,1.40,125,1.23,13.5,3.68,273,3.68,7.72,2.11,1.05,0.18,0.00,0.88,1.23,3.33,2.11,0.00,Spiele
263,Fabian Kunze\Fabian-Kunze,de GER,MF,Arminia,22,1998,14.1,3.12,1.91,1.49,1.42,0.21,0.99,3.05,326,2.06,21.8,5.18,238,7.87,11.6,2.27,2.41,0.21,0.00,2.20,1.06,4.18,2.20,0.00,Spiele
264,Ahmed Kutucu\Ahmed-Kutucu,tr TUR,FWMF,Schalke 04,20,2000,1.2,0.83,0.00,0.00,0.00,0.83,0.83,0.83,1000,0.00,24.2,5.83,241,3.33,9.17,11.7,0.83,0.00,0.00,0.83,0.00,0.83,0.00,0.00,Spiele
265,Maxence Lacroix\Maxence-Lacroix,fr FRA,DF,Wolfsburg,20,2000,28.8,2.19,1.18,1.67,0.52,0.00,0.69,1.63,426,0.94,11.6,4.20,361,6.77,4.69,0.17,2.19,0.83,0.03,1.35,2.64,4.83,6.04,0.00,Spiele
266,Konrad Laimer\Konrad-Laimer,at AUT,DFFW,RB Leipzig,23,1997,0.9,2.22,2.22,0.00,1.11,1.11,0.00,3.33,00,3.33,34.4,6.67,194,5.56,23.3,5.56,2.22,0.00,0.00,2.22,1.11,3.33,2.22,0.00,Spiele
267,Stefan Lainer\Stefan-Lainer,at AUT,DF,M'Gladbach,27,1992,30.8,1.95,1.27,0.88,0.71,0.36,0.88,2.27,386,1.40,14.3,4.42,309,5.03,6.23,3.02,2.50,0.29,0.00,2.21,1.30,3.25,2.86,0.06,Spiele
268,Michael Langer\Michael-Langer,at AUT,TW,Schalke 04,35,1985,2.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
269,Danny Latza\Danny-Latza,de GER,MF,Mainz 05,30,1989,20.0,2.35,1.55,0.90,0.95,0.50,1.05,3.65,288,2.60,23.8,7.25,305,7.50,12.0,4.30,2.55,0.35,0.00,2.20,1.35,3.70,1.40,0.00,Spiele
270,Valentino Lazaro\Valentino-Lazaro,at AUT,DFFW,M'Gladbach,24,1996,13.8,1.30,0.65,0.72,0.36,0.22,0.58,1.45,400,0.87,16.2,4.06,250,4.93,6.96,4.35,1.96,0.07,0.00,1.88,1.30,2.61,1.16,0.00,Spiele
271,Mathew Leckie\Mathew-Leckie,au AUS,FWDF,Hertha BSC,29,1991,5.6,2.32,1.61,1.07,0.89,0.36,0.71,2.68,267,1.96,25.9,6.61,255,5.89,12.9,7.14,2.86,0.00,0.00,2.86,1.96,4.29,2.14,0.18,Spiele
272,Christopher Lenz\Christopher-Lenz,de GER,DF,Union Berlin,25,1994,25.0,3.08,1.60,1.76,1.16,0.16,1.16,2.76,420,1.60,16.5,5.20,316,7.32,6.52,2.64,2.00,0.32,0.04,1.68,1.32,4.40,2.12,0.00,Spiele
273,Robert Lewandowski\Robert-Lewandowski,pl POL,FW,Bayern Munich,31,1988,27.3,0.66,0.48,0.07,0.29,0.29,0.15,0.51,286,0.37,11.9,3.85,324,0.44,3.26,8.17,0.33,0.07,0.00,0.26,0.26,0.92,0.29,0.00,Spiele
274,Philipp Lienhart\Philipp-Lienhart,at AUT,DF,Freiburg,24,1996,33.3,0.84,0.45,0.54,0.27,0.03,0.12,0.63,190,0.51,6.28,1.92,306,3.51,2.52,0.24,1.62,0.69,0.00,0.93,1.32,2.16,4.11,0.03,Spiele
275,Dimitris Limnios\Dimitris-Limnios,gr GRE,MFFW,Köln,22,1998,4.2,1.90,1.19,1.19,0.48,0.24,0.71,1.43,500,0.71,17.4,5.24,301,5.24,8.10,4.05,1.43,0.00,0.00,1.43,0.24,2.14,0.24,0.00,Spiele
276,Niklas Lomb\Niklas-Lomb,de GER,TW,Leverkusen,27,1993,1.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,Spiele
277,Eduard Löwen\Eduard-Lowen,de GER,MFDF,Hertha BSC,23,1997,0.9,5.56,4.44,2.22,1.11,2.22,2.22,5.56,400,3.33,30.0,4.44,148,13.3,8.89,7.78,0.00,0.00,0.00,0.00,1.11,6.67,2.22,0.00,Spiele
278,Jan Luca Schuler\Jan-Luca-Schuler,de GER,FW,Schalke 04,21,1999,0.4,2.50,2.50,0.00,2.50,0.00,0.00,2.50,00,2.50,17.5,7.50,429,5.00,5.00,7.50,5.00,0.00,0.00,5.00,0.00,2.50,2.50,0.00,Spiele
279,Anderson Lucoqui\Anderson-Lucoqui,ao ANG,DF,Arminia,23,1997,17.8,2.81,1.35,1.85,0.90,0.06,1.18,2.53,467,1.35,14.8,3.82,259,7.75,5.34,1.69,3.65,0.34,0.00,3.31,0.90,3.71,3.26,0.06,Spiele
280,Kilian Ludewig\Kilian-Ludewig,de GER,DF,Schalke 04,20,2000,5.8,2.41,0.86,1.55,0.52,0.34,1.03,5.34,194,4.31,24.3,7.41,305,12.4,9.83,2.07,2.07,0.17,0.00,1.90,0.69,3.10,1.90,0.00,Spiele
281,Dodi Lukebakio\Dodi-Lukebakio,be BEL,FWMF,Hertha BSC,22,1997,20.6,1.26,0.68,0.83,0.29,0.15,0.19,0.73,267,0.53,14.1,3.25,231,3.40,6.46,4.22,0.92,0.05,0.00,0.87,0.49,1.75,0.49,0.00,Spiele
282,Andreas Luthe\Andreas-Luthe,de GER,TW,Union Berlin,33,1987,30.8,0.00,0.00,0.00,0.00,0.00,0.00,0.06,00,0.06,0.16,0.06,400,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.06,Spiele
283,Tim Maciejewski\Tim-Maciejewski,de GER,MF,Union Berlin,19,2001,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
284,Luca Mack\Luca-Mack,de GER,MF,Stuttgart,20,2000,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,20.0,20.0,1000,10.0,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.0,0.00,Spiele
285,Mikail Maden\Mikail-Maden,no NOR,FW,Schalke 04,18,2002,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
286,Arne Maier\Arne-Maier,de GER,MF,Hertha BSC,21,1999,0.3,3.33,0.00,0.00,3.33,0.00,0.00,0.00,,0.00,10.0,3.33,333,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.00,0.00,Spiele
287,Arne Maier\Arne-Maier,de GER,MF,Arminia,21,1999,11.5,1.65,1.22,0.43,1.04,0.17,0.61,1.39,438,0.78,16.0,4.87,304,4.43,8.43,3.13,1.74,0.26,0.00,1.48,0.78,2.43,1.39,0.00,Spiele
288,Yunus Mall?\Yunus-Malli,tr TUR,MF,Wolfsburg,28,1992,0.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,5.00,0.00,00,0.00,1.67,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
289,Orel Mangala\Orel-Mangala,be BEL,MF,Stuttgart,22,1998,23.4,1.28,0.77,0.51,0.60,0.17,0.51,1.07,480,0.56,9.91,3.08,310,2.48,5.60,1.84,2.35,0.60,0.00,1.75,1.15,2.44,1.20,0.00,Spiele
290,Omar Marmoush\Omar-Marmoush,eg EGY,FW,Wolfsburg,21,1999,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Spiele
