Rg,Spieler,Land,Pos,Verein,Alt,Geboren,90,Vol,Ver,Vol%,GesEntf,ProgEntf,Vol,Ver,Vol%,Vol,Ver,Vol%,Vol,Ver,Vol%,Vor,xA,A-xA,WP,1/3,PPA,FlkSr,Fortschr.,Spiele
34,Oliver Baumann\Oliver-Baumann,de GER,TW,Hoffenheim,30,1990,31.0,34.4,43.6,788,885.0,513.6,9.16,9.16,1000,14.5,14.6,987,9.81,18.8,521,0.00,0.00,0.00,0.00,0.42,0.00,0.00,0.06,Spiele
35,Julian Baumgartlinger\Julian-Baumgartlinger,at AUT,MF,Leverkusen,32,1988,11.9,48.7,56.1,867,928.2,200.8,20.3,22.4,906,19.3,21.3,906,8.07,10.4,774,0.00,0.03,-0.03,0.67,4.54,0.50,0.08,4.71,Spiele
36,Christoph Baumgartner\Christoph-Baumgartner,at AUT,MFFW,Hoffenheim,20,1999,26.3,27.6,36.3,760,460.7,123.0,14.4,17.5,824,9.28,11.9,782,2.85,4.56,625,0.11,0.11,0.00,1.22,2.28,1.22,0.15,3.73,Spiele
37,Noah Joel Sarenren Bazee\Noah-Joel-Sarenren-Bazee,ng NGA,FWMF,Augsburg,23,1996,0.4,15.0,32.5,462,195.0,57.5,7.50,12.5,600,5.00,10.0,500,0.00,5.00,00,2.50,1.75,0.75,2.50,0.00,0.00,0.00,0.00,Spiele
38,Ihlas Bebou\Ihlas-Bebou,tg TOG,FW,Hoffenheim,26,1994,24.4,19.7,25.9,758,279.3,65.6,11.7,14.3,819,5.74,7.50,765,1.07,1.84,578,0.29,0.20,0.08,1.52,1.07,1.31,0.57,1.97,Spiele
39,Sheraldo Becker\Sheraldo-Becker,sr SUR,FWMF,Union Berlin,25,1995,12.3,17.2,27.3,631,302.4,95.3,8.37,11.3,741,7.15,10.7,672,1.38,3.66,378,0.24,0.26,-0.02,1.54,0.81,1.46,1.14,1.87,Spiele
40,Timo Becker\Timo-Becker,de GER,DF,Schalke 04,23,1997,18.2,33.3,43.1,772,647.1,221.8,11.9,14.1,844,16.8,19.9,840,4.29,7.25,591,0.00,0.02,-0.02,0.16,1.37,0.49,0.16,1.92,Spiele
41,Brian Behrendt\Brian-Behrendt,de GER,DF,Arminia,28,1991,0.9,45.6,62.2,732,1045.6,344.4,15.6,18.9,824,20.0,27.8,720,10.0,14.4,692,0.00,0.00,0.00,0.00,4.44,0.00,0.00,5.56,Spiele
42,Maximilian Beier\Maximilian-Beier,de GER,FWDF,Hoffenheim,17,2002,0.1,50.0,50.0,1000,790.0,40.0,30.0,30.0,1000,10.0,10.0,1000,10.0,10.0,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
43,Ishak Belfodil\Ishak-Belfodil,dz ALG,FW,Hoffenheim,28,1992,6.6,16.4,22.9,715,225.3,39.2,9.55,12.6,759,5.30,7.42,714,0.76,1.06,714,0.15,0.15,0.00,1.06,0.30,0.45,0.00,1.21,Spiele
44,Stefan Bell\Stefan-Bell,de GER,DF,Mainz 05,28,1991,14.1,29.6,37.7,787,604.1,215.9,10.1,11.4,888,14.5,16.7,872,4.82,8.94,540,0.07,0.09,-0.02,0.21,1.06,0.14,0.00,1.99,Spiele
45,Karim Bellarabi\Karim-Bellarabi,de GER,FWMF,Leverkusen,30,1990,8.9,32.8,46.3,709,524.8,148.3,18.7,22.5,830,11.3,15.4,737,2.36,5.84,404,0.00,0.20,-0.20,1.57,1.57,1.69,0.67,3.03,Spiele
46,Jude Bellingham\Jude-Bellingham,eng ENG,MF,Dortmund,17,2003,18.9,47.0,56.5,832,864.0,170.9,20.2,23.3,866,19.8,22.7,872,6.08,7.62,799,0.16,0.17,-0.02,0.74,3.33,1.43,0.11,4.02,Spiele
47,Lars Bender\Lars-Bender,de GER,DF,Leverkusen,31,1989,10.4,56.5,68.0,832,1080.1,362.6,22.4,25.5,879,24.4,28.2,867,8.46,11.2,759,0.19,0.05,0.14,0.67,4.33,1.15,0.19,5.48,Spiele
