Rg,Spieler,Land,Pos,Verein,Alt,Geboren,90,Vol,Ver,Vol%,GesEntf,ProgEntf,Vol,Ver,Vol%,Vol,Ver,Vol%,Vol,Ver,Vol%,Vor,xA,A-xA,WP,1/3,PPA,FlkSr,Fortschr.,Spiele
199,Jonas Hofmann\Jonas-Hofmann,de GER,FWMF,M'Gladbach,28,1992,20.2,37.8,50.7,744,741.3,214.2,16.7,19.3,866,13.6,16.5,823,6.63,12.3,540,0.54,0.27,0.27,2.82,2.62,1.24,0.20,3.22,Spiele
200,Marco Höger\Marco-Hoger,de GER,DFMF,Köln,30,1989,0.6,35.0,51.7,677,638.3,278.3,15.0,16.7,900,15.0,23.3,643,5.00,11.7,429,0.00,0.00,0.00,0.00,1.67,1.67,0.00,6.67,Spiele
201,Lucas Höler\Lucas-Holer,de GER,FWMF,Freiburg,26,1994,23.2,19.2,28.4,677,290.9,55.3,11.8,14.7,801,5.56,8.66,642,1.29,2.46,526,0.17,0.13,0.04,0.91,1.21,0.60,0.04,1.72,Spiele
202,Matthew Hoppe\Matthew-Hoppe,us USA,FW,Schalke 04,19,2001,14.5,12.8,17.7,727,179.4,30.5,7.52,9.38,801,3.86,5.45,709,0.62,1.10,563,0.07,0.06,0.01,0.48,0.48,0.48,0.07,0.97,Spiele
203,Jannes Horn\Jannes-Horn,de GER,DF,Köln,23,1997,19.6,36.8,46.3,796,786.9,319.9,10.6,12.2,870,19.6,22.6,871,6.22,10.6,589,0.05,0.08,-0.03,0.77,2.65,0.97,0.71,3.47,Spiele
204,Timo Horn\Timo-Horn,de GER,TW,Köln,27,1993,33.4,29.2,39.7,735,919.8,569.1,4.13,4.16,993,12.5,12.7,991,12.3,22.7,544,0.00,0.00,0.00,0.03,0.78,0.03,0.00,0.00,Spiele
205,Lukáš Hrádecký\Lukas-Hradecky,fi FIN,TW,Leverkusen,30,1989,28.5,37.6,48.8,771,1052.3,669.5,5.86,5.86,1000,18.2,18.5,987,13.3,24.1,550,0.00,0.00,0.00,0.00,0.32,0.00,0.00,0.04,Spiele
206,Ajdin Hrustic\Ajdin-Hrustic,au AUS,MFFW,Eint Frankfurt,24,1996,3.0,66.3,81.3,816,1298.7,388.7,25.7,27.0,951,27.3,29.7,921,12.0,21.3,563,0.00,0.13,-0.13,2.00,8.33,3.33,0.67,8.33,Spiele
207,Florian Hübner\Florian-Hubner,de GER,DF,Union Berlin,29,1991,5.8,30.5,41.0,744,570.3,235.7,12.2,13.6,899,14.5,19.3,750,3.10,6.90,450,0.00,0.00,0.00,0.00,2.24,0.34,0.17,2.24,Spiele
208,Mats Hummels\Mats-Hummels,de GER,DF,Dortmund,31,1988,31.3,73.3,82.5,888,1803.8,469.6,13.3,14.5,916,40.5,43.1,940,19.3,24.2,797,0.00,0.03,-0.03,0.32,4.47,0.29,0.00,4.35,Spiele
209,Klaas-Jan Huntelaar\Klaas-Jan-Huntelaar,nl NED,FW,Schalke 04,36,1983,6.5,15.8,20.8,763,230.8,35.1,8.46,10.3,821,5.85,7.69,760,0.46,0.92,500,0.15,0.08,0.08,0.62,0.77,0.77,0.15,1.23,Spiele
210,Iago\Iago,br BRA,DF,Augsburg,23,1997,17.3,35.0,47.4,738,658.0,224.6,14.6,16.7,872,16.0,20.0,798,4.39,9.13,481,0.06,0.06,-0.01,0.81,1.10,1.04,0.58,2.37,Spiele
211,Vedad Ibiševi?\Vedad-Ibisevic,ba BIH,FW,Schalke 04,35,1984,1.7,14.7,20.6,714,208.8,24.7,8.82,11.2,789,3.53,5.29,667,1.18,1.76,667,0.00,0.00,0.00,1.18,1.18,0.00,0.00,1.18,Spiele
212,Blendi Idrizi\Blendi-Idrizi,xk KVX,MF,Schalke 04,22,1998,2.6,20.0,26.2,765,307.7,110.8,14.2,16.9,841,3.46,4.62,750,2.31,3.08,750,0.00,0.08,-0.08,0.38,2.31,0.77,0.00,2.31,Spiele
213,Stefan Ilsanker\Stefan-Ilsanker,at AUT,MFDF,Eint Frankfurt,31,1989,17.5,40.5,50.5,802,795.7,252.3,14.9,16.5,903,19.8,23.4,846,5.20,8.91,583,0.00,0.01,-0.01,0.29,3.31,0.29,0.06,3.77,Spiele
214,Marcus Ingvartsen\Marcus-Ingvartsen,dk DEN,MFFW,Union Berlin,24,1996,21.8,21.2,29.9,710,336.6,93.0,10.8,12.9,836,7.48,10.6,703,1.74,3.90,447,0.23,0.10,0.13,0.96,1.51,0.50,0.14,1.97,Spiele
215,Ismail Jakobs\Ismail-Jakobs,de GER,DFMF,Köln,20,1999,19.2,24.2,36.3,668,410.4,141.4,12.9,15.7,824,7.92,12.0,658,2.76,6.30,438,0.05,0.10,-0.05,0.73,0.99,1.04,0.68,1.93,Spiele
216,Tony Jantschke\Tony-Jantschke,de GER,DF,M'Gladbach,30,1990,3.0,78.0,84.7,921,1613.3,496.7,22.7,23.7,958,42.3,44.3,955,12.0,14.7,818,0.00,0.00,0.00,0.00,2.67,0.00,0.00,5.33,Spiele
217,Rune Jarstein\Rune-Jarstein,no NOR,TW,Hertha BSC,35,1984,8.0,23.0,35.5,648,790.3,504.4,2.75,2.88,957,9.75,9.88,987,10.4,22.6,459,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,Spiele
218,Tin Jedvaj\Tin-Jedvaj,hr CRO,DF,Leverkusen,24,1995,1.7,64.7,74.7,866,1326.5,554.7,22.4,22.9,974,34.7,38.8,894,7.65,11.8,650,0.00,0.00,0.00,0.00,8.24,0.59,0.00,5.29,Spiele
219,Fredrik Jensen\Fredrik-Jensen,fi FIN,FWMF,Augsburg,22,1997,4.2,16.2,23.8,680,258.8,83.8,8.57,10.2,837,5.95,7.38,806,1.19,3.81,313,0.24,0.24,0.00,1.43,1.19,0.95,0.24,0.95,Spiele
220,Marco John\Marco-John,de GER,DF,Hoffenheim,18,2002,11.1,38.3,48.1,796,612.0,243.3,19.8,22.6,876,15.8,18.6,850,2.07,3.96,523,0.00,0.14,-0.14,0.90,2.07,1.71,0.81,4.14,Spiele
221,Luka Jovi?\Luka-Jovic,rs SRB,FWMF,Eint Frankfurt,22,1997,9.9,23.0,29.5,781,389.2,90.8,12.4,15.4,809,6.67,9.19,725,2.93,3.43,853,0.10,0.06,0.04,0.51,2.42,1.01,0.10,3.43,Spiele
222,Ozan Kabak\Ozan-Kabak,tr TUR,DF,Schalke 04,20,2000,13.8,43.8,49.3,890,948.4,287.0,12.5,13.6,920,23.3,24.3,955,7.68,10.9,707,0.00,0.01,-0.01,0.22,3.19,0.22,0.00,3.04,Spiele
223,Pavel Kade?ábek\Pavel-Kaderabek,cz CZE,DF,Hoffenheim,28,1992,17.6,40.1,54.4,737,714.1,281.1,16.6,20.1,828,19.1,24.0,799,3.69,7.78,474,0.23,0.19,0.04,1.31,3.12,1.76,0.85,5.06,Spiele
224,Florian Kainz\Florian-Kainz,at AUT,FWMF,Köln,27,1992,5.0,25.2,36.6,689,450.2,179.8,12.2,13.6,897,8.20,13.0,631,3.80,8.20,463,0.00,0.20,-0.20,2.00,3.00,1.60,0.40,4.20,Spiele
225,Sasa Kalajdzic\Sasa-Kalajdzic,at AUT,FW,Stuttgart,23,1997,23.7,19.8,28.2,704,283.8,44.9,12.0,15.5,774,5.78,8.23,703,1.22,2.07,592,0.21,0.15,0.06,0.97,1.10,0.55,0.04,1.56,Spiele
226,Daichi Kamada\Daichi-Kamada,jp JPN,MFFW,Eint Frankfurt,23,1996,26.2,28.7,38.3,749,502.1,150.6,14.0,16.8,834,10.0,12.4,807,3.70,6.49,571,0.46,0.29,0.17,1.98,2.90,1.07,0.19,3.40,Spiele
227,Marcin Kami?ski\Marcin-Kaminski,pl POL,DF,Stuttgart,28,1992,2.4,78.3,88.8,883,1651.3,634.2,20.4,22.1,925,45.8,48.3,948,11.7,15.8,737,0.00,0.08,-0.08,0.83,11.3,1.25,0.83,13.8,Spiele
228,Kevin Kampl\Kevin-Kampl,si SVN,MF,RB Leipzig,29,1990,21.5,59.7,66.5,899,1053.7,222.0,25.7,27.3,944,26.2,28.2,931,6.28,8.47,742,0.05,0.09,-0.04,0.74,5.40,0.79,0.05,4.74,Spiele
229,Jimmy Kaparos\Jimmy-Kaparos,de GER,MF,Schalke 04,18,2001,0.2,10.0,10.0,1000,165.0,95.0,5.00,5.00,1000,5.00,5.00,1000,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
230,Atakan Karazor\Atakan-Karazor,de GER,DFMF,Stuttgart,23,1996,11.5,53.5,61.3,872,972.6,301.7,20.9,23.1,902,26.0,28.2,923,5.22,7.83,667,0.00,0.01,-0.01,0.17,2.09,0.09,0.00,2.52,Spiele
231,Loris Karius\Loris-Karius,de GER,TW,Union Berlin,27,1993,3.2,18.1,29.7,611,661.9,493.4,2.19,2.19,1000,6.25,6.25,1000,9.69,21.3,456,0.00,0.00,0.00,0.00,1.25,0.00,0.00,0.00,Spiele
232,Silas Katompa\Silas-Katompa,cd COD,DFFW,Stuttgart,21,1998,21.3,16.2,23.1,699,261.4,75.0,8.69,10.7,811,6.01,8.36,719,1.17,2.44,481,0.19,0.24,-0.05,1.08,0.56,0.85,0.42,1.41,Spiele
233,Noah Katterbach\Noah-Katterbach,de GER,DF,Köln,19,2001,12.3,41.9,54.4,770,741.0,334.0,18.9,21.5,879,17.7,21.8,813,4.23,8.62,491,0.00,0.10,-0.10,0.98,3.09,0.89,0.57,4.39,Spiele
234,Yannik Keitel\Yannik-Keitel,de GER,MF,Freiburg,20,2000,5.5,28.9,35.8,807,512.7,119.8,13.6,16.9,806,11.6,13.3,877,3.09,4.00,773,0.00,0.04,-0.04,0.55,2.00,0.55,0.00,3.45,Spiele
235,Marc-Oliver Kempf\Marc-Oliver-Kempf,de GER,DF,Stuttgart,25,1995,30.3,50.9,61.6,826,1054.6,405.0,17.3,19.0,910,25.0,28.4,883,7.99,12.8,625,0.03,0.01,0.02,0.36,5.51,0.69,0.07,5.35,Spiele
236,Rani Khedira\Rani-Khedira,de GER,MF,Augsburg,26,1994,20.2,24.5,33.2,736,439.3,108.4,10.3,12.7,813,10.2,13.2,778,2.87,5.20,552,0.00,0.01,-0.01,0.35,1.39,0.59,0.15,2.13,Spiele
237,Sami Khedira\Sami-Khedira,de GER,MF,Hertha BSC,33,1987,4.4,41.8,50.5,829,790.0,167.5,14.5,17.3,842,21.4,24.3,879,5.00,7.27,688,0.23,0.11,0.11,0.68,1.36,0.45,0.00,3.41,Spiele
238,Luca Kilian\Luca-Kilian,de GER,DF,Mainz 05,20,1999,4.2,46.0,52.9,869,1054.8,251.7,10.0,10.7,933,26.4,28.3,933,9.05,12.6,717,0.00,0.00,0.00,0.24,1.43,0.24,0.00,2.38,Spiele
239,Joshua Kimmich\Joshua-Kimmich,de GER,MF,Bayern Munich,25,1995,24.4,73.4,87.3,840,1614.8,474.7,24.2,26.5,913,32.7,36.1,907,15.4,23.0,668,0.41,0.27,0.14,2.75,8.77,2.38,0.33,9.43,Spiele
240,Davy Klaassen\Davy-Klaassen,nl NED,MF,Werder Bremen,27,1993,2.5,17.6,25.6,688,273.6,86.0,7.60,10.4,731,9.20,11.2,821,0.40,2.40,167,0.00,0.00,0.00,0.00,1.60,0.40,0.00,2.00,Spiele
241,Felix Klaus\Felix-Klaus,de GER,DFMF,Wolfsburg,27,1992,1.5,38.7,48.0,806,695.3,131.3,18.0,21.3,844,14.0,16.7,840,5.33,6.67,800,0.00,0.00,0.00,0.00,1.33,0.00,0.00,2.67,Spiele
242,Klauss\Klauss,br BRA,FWDF,Hoffenheim,23,1997,0.6,30.0,36.7,818,408.3,166.7,21.7,23.3,929,6.67,8.33,800,1.67,3.33,500,0.00,0.50,-0.50,3.33,1.67,3.33,0.00,6.67,Spiele
243,Philipp Klement\Philipp-Klement,de GER,MFFW,Stuttgart,27,1992,4.7,60.6,73.6,824,1196.0,361.1,25.1,26.8,937,24.3,26.8,905,10.0,17.0,588,0.43,0.36,0.06,3.62,5.74,1.91,0.21,4.47,Spiele
244,Mateo Klimowicz\Mateo-Klimowicz,de GER,FWMF,Stuttgart,20,2000,13.3,19.0,25.3,753,310.2,72.0,10.3,12.9,797,5.94,7.44,798,2.03,3.16,643,0.08,0.09,-0.02,0.98,1.58,0.83,0.08,2.11,Spiele
245,Fabian Klos\Fabian-Klos,de GER,FW,Arminia,32,1987,30.1,15.0,26.5,564,247.0,64.6,7.87,12.4,637,5.18,9.50,545,1.43,2.76,518,0.07,0.12,-0.05,0.93,1.63,0.56,0.07,2.62,Spiele
246,Lukas Klostermann\Lukas-Klostermann,de GER,DF,RB Leipzig,24,1996,16.1,63.3,71.6,884,1218.4,382.2,22.9,24.9,918,32.4,35.0,927,7.52,11.0,684,0.00,0.03,-0.03,0.25,6.02,0.62,0.06,4.91,Spiele
247,Justin Kluivert\Justin-Kluivert,nl NED,FW,RB Leipzig,21,1999,9.0,19.2,27.8,692,283.3,57.4,12.0,15.3,783,5.22,7.44,701,1.44,3.11,464,0.11,0.13,-0.02,1.33,1.00,1.00,0.44,1.56,Spiele
248,Lukas Klünter\Lukas-Klunter,de GER,DF,Hertha BSC,24,1996,11.0,37.1,48.3,768,781.7,262.7,10.2,11.4,896,20.9,23.9,875,5.73,11.2,512,0.00,0.03,-0.03,0.27,2.36,0.55,0.27,2.55,Spiele
249,Ansgar Knauff\Ansgar-Knauff,de GER,FWMF,Dortmund,18,2002,0.8,23.8,31.3,760,450.0,173.8,7.50,10.0,750,13.8,17.5,786,1.25,2.50,500,1.25,1.25,0.00,5.00,0.00,2.50,2.50,2.50,Spiele
250,Robin Knoche\Robin-Knoche,de GER,DF,Union Berlin,28,1992,33.8,51.7,59.7,866,1234.6,342.6,10.9,12.1,904,27.0,29.3,920,13.4,17.5,765,0.00,0.01,-0.01,0.09,2.22,0.06,0.00,2.43,Spiele
251,Gregor Kobel\Gregor-Kobel,ch SUI,TW,Stuttgart,22,1997,33.0,30.2,36.8,821,688.5,420.4,10.8,10.8,997,11.6,11.6,997,6.70,13.2,508,0.00,0.00,0.00,0.03,0.36,0.03,0.00,0.03,Spiele
252,Dominik Kohr\Dominik-Kohr,de GER,MFFW,Eint Frankfurt,26,1994,2.9,45.9,59.7,769,799.0,236.6,20.3,24.5,831,22.4,28.6,783,2.41,4.48,538,0.00,0.00,0.00,0.34,6.90,0.34,0.00,7.93,Spiele
253,Dominik Kohr\Dominik-Kohr,de GER,MF,Mainz 05,26,1994,14.1,27.9,36.7,762,478.2,159.9,12.3,15.0,820,11.5,14.6,786,3.05,4.96,614,0.07,0.09,-0.01,0.43,3.76,0.43,0.00,3.62,Spiele
254,Sead Kolašinac\Sead-Kolasinac,ba BIH,DFMF,Schalke 04,27,1993,15.8,37.2,46.8,794,633.6,224.5,16.5,19.2,861,17.5,20.8,839,2.34,4.75,493,0.06,0.10,-0.04,0.76,2.03,0.57,0.06,2.78,Spiele
255,Ibrahima Konaté\Ibrahima-Konate,fr FRA,DF,RB Leipzig,21,1999,7.7,61.3,70.9,864,1280.8,339.1,13.5,15.1,897,39.1,42.3,923,8.31,12.7,653,0.00,0.00,0.00,0.00,3.90,0.00,0.00,2.86,Spiele
256,Filip Kosti?\Filip-Kostic,rs SRB,DF,Eint Frankfurt,27,1992,28.2,35.4,56.5,627,699.8,283.8,13.9,17.9,773,15.0,21.8,691,5.82,12.9,452,0.50,0.41,0.09,3.19,2.09,2.45,1.81,4.86,Spiele
257,Nianzou Kouassi\Nianzou-Kouassi,fr FRA,DFMF,Bayern Munich,18,2002,1.3,60.0,66.2,907,1340.8,448.5,14.6,16.2,905,34.6,36.2,957,10.8,13.8,778,0.00,0.00,0.00,0.00,11.5,0.00,0.00,6.15,Spiele
258,Andrej Kramari?\Andrej-Kramaric,hr CRO,FWMF,Hoffenheim,29,1991,26.4,29.5,38.4,769,508.0,101.6,14.6,16.7,871,10.8,13.4,800,3.18,5.57,571,0.19,0.17,0.02,1.48,1.78,1.63,0.49,2.58,Spiele
259,Christoph Kramer\Christoph-Kramer,de GER,MF,M'Gladbach,29,1991,22.6,50.0,57.7,867,846.1,240.3,24.2,26.2,922,20.1,22.6,890,4.38,6.50,673,0.09,0.05,0.04,0.49,3.72,0.58,0.09,4.03,Spiele
260,Max Kruse\Max-Kruse,de GER,FWMF,Union Berlin,32,1988,18.1,31.2,41.4,754,641.4,128.7,11.7,14.4,812,12.7,15.4,824,5.97,8.90,671,0.28,0.25,0.03,2.10,2.49,1.33,0.28,3.87,Spiele
261,Lukas Kübler\Lukas-Kubler,de GER,DF,Freiburg,27,1992,9.8,28.7,42.8,671,604.9,247.6,10.8,13.8,785,12.6,18.2,691,5.10,9.29,549,0.10,0.03,0.07,0.41,2.04,0.92,0.20,3.47,Spiele
262,Pierre Kunde\Pierre-Kunde,cm CMR,MF,Mainz 05,25,1995,5.7,39.3,51.6,762,804.2,202.1,14.6,17.0,856,17.9,21.6,829,6.49,11.2,578,0.00,0.16,-0.16,1.05,4.04,0.88,0.00,4.04,Spiele
263,Fabian Kunze\Fabian-Kunze,de GER,MF,Arminia,22,1998,14.1,31.5,40.1,784,577.4,134.6,12.8,15.7,814,14.9,17.3,861,3.33,5.74,580,0.00,0.03,-0.03,0.35,2.91,0.21,0.00,3.40,Spiele
264,Ahmed Kutucu\Ahmed-Kutucu,tr TUR,FWMF,Schalke 04,20,2000,1.2,18.3,30.8,595,296.7,29.2,10.0,14.2,706,4.17,6.67,625,2.50,5.83,429,0.00,0.00,0.00,0.83,0.83,0.00,0.00,0.00,Spiele
265,Maxence Lacroix\Maxence-Lacroix,fr FRA,DF,Wolfsburg,20,2000,28.8,50.7,60.3,841,1260.6,377.0,7.64,8.99,849,29.2,31.4,932,13.6,18.9,722,0.03,0.01,0.02,0.14,3.54,0.17,0.00,3.82,Spiele
266,Konrad Laimer\Konrad-Laimer,at AUT,DFFW,RB Leipzig,23,1997,0.9,43.3,56.7,765,567.8,218.9,23.3,24.4,955,16.7,24.4,682,1.11,2.22,500,0.00,0.00,0.00,0.00,2.22,1.11,1.11,4.44,Spiele
267,Stefan Lainer\Stefan-Lainer,at AUT,DF,M'Gladbach,27,1992,30.8,41.9,55.4,756,734.9,315.5,19.3,21.9,881,17.4,22.3,781,4.35,8.60,506,0.06,0.08,-0.01,1.10,3.15,1.07,0.52,4.81,Spiele
268,Michael Langer\Michael-Langer,at AUT,TW,Schalke 04,35,1985,2.7,18.5,28.1,658,532.6,311.1,2.96,2.96,1000,9.63,9.63,1000,5.93,15.6,381,0.00,0.00,0.00,0.00,0.37,0.00,0.00,0.00,Spiele
269,Danny Latza\Danny-Latza,de GER,MF,Mainz 05,30,1989,20.0,26.6,37.6,706,507.9,146.3,10.8,13.1,828,11.8,15.4,761,3.50,6.95,504,0.10,0.11,-0.01,1.15,1.95,0.35,0.10,3.35,Spiele
270,Valentino Lazaro\Valentino-Lazaro,at AUT,DFFW,M'Gladbach,24,1996,13.8,32.0,42.0,762,532.9,148.0,16.9,19.5,866,11.2,15.0,744,3.19,5.80,550,0.00,0.07,-0.07,1.16,1.96,0.65,0.29,2.32,Spiele
271,Mathew Leckie\Mathew-Leckie,au AUS,FWDF,Hertha BSC,29,1991,5.6,28.6,37.5,762,521.8,112.3,12.9,15.7,818,12.3,15.0,821,3.04,4.46,680,0.18,0.11,0.07,0.89,1.07,1.07,0.54,2.32,Spiele
272,Christopher Lenz\Christopher-Lenz,de GER,DF,Union Berlin,25,1994,25.0,39.0,53.6,728,731.6,305.7,17.4,20.4,855,15.8,20.3,779,5.20,10.1,514,0.12,0.08,0.04,0.76,2.88,1.20,0.48,4.32,Spiele
273,Robert Lewandowski\Robert-Lewandowski,pl POL,FW,Bayern Munich,31,1988,27.3,19.9,26.0,765,306.7,56.3,11.0,13.4,817,6.23,7.77,802,1.68,2.31,730,0.26,0.13,0.12,1.10,1.25,0.95,0.15,1.90,Spiele
274,Philipp Lienhart\Philipp-Lienhart,at AUT,DF,Freiburg,24,1996,33.3,49.1,57.2,857,1189.5,311.2,7.93,8.98,883,29.7,31.3,947,11.3,16.2,698,0.00,0.01,-0.01,0.09,2.28,0.03,0.00,2.25,Spiele
275,Dimitris Limnios\Dimitris-Limnios,gr GRE,MFFW,Köln,22,1998,4.2,19.8,31.2,634,333.6,109.3,10.0,13.6,737,7.86,10.5,750,1.67,4.05,412,0.00,0.12,-0.12,0.95,0.48,0.95,0.24,1.90,Spiele
276,Niklas Lomb\Niklas-Lomb,de GER,TW,Leverkusen,27,1993,1.5,32.0,40.0,800,811.3,565.3,8.00,8.00,1000,16.7,16.7,1000,7.33,15.3,478,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
277,Eduard Löwen\Eduard-Lowen,de GER,MFDF,Hertha BSC,23,1997,0.9,57.8,76.7,754,1085.6,264.4,21.1,25.6,826,31.1,38.9,800,4.44,7.78,571,0.00,0.00,0.00,0.00,3.33,2.22,1.11,3.33,Spiele
278,Jan Luca Schuler\Jan-Luca-Schuler,de GER,FW,Schalke 04,21,1999,0.4,17.5,32.5,538,170.0,7.50,12.5,25.0,500,2.50,5.00,500,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
279,Anderson Lucoqui\Anderson-Lucoqui,ao ANG,DF,Arminia,23,1997,17.8,28.1,41.3,681,528.3,204.9,11.2,13.4,833,13.3,18.6,713,3.20,6.74,475,0.00,0.01,-0.01,0.34,2.02,0.34,0.00,2.75,Spiele
280,Kilian Ludewig\Kilian-Ludewig,de GER,DF,Schalke 04,20,2000,5.8,37.9,50.7,748,623.4,299.7,19.3,22.6,855,15.3,19.1,802,2.76,5.86,471,0.00,0.05,-0.05,0.86,1.72,1.38,0.52,4.14,Spiele
281,Dodi Lukebakio\Dodi-Lukebakio,be BEL,FWMF,Hertha BSC,22,1997,20.6,19.4,25.9,750,358.3,64.7,8.93,11.3,790,7.14,9.08,786,2.67,3.74,714,0.24,0.12,0.12,1.02,1.12,0.63,0.29,1.65,Spiele
282,Andreas Luthe\Andreas-Luthe,de GER,TW,Union Berlin,33,1987,30.8,26.5,36.9,716,812.1,520.5,4.61,4.68,986,11.8,12.0,978,10.0,20.2,498,0.00,0.00,0.00,0.00,0.32,0.00,0.00,0.00,Spiele
283,Tim Maciejewski\Tim-Maciejewski,de GER,MF,Union Berlin,19,2001,0.1,20.0,30.0,667,410.0,20.0,10.0,10.0,1000,10.0,10.0,1000,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
284,Luca Mack\Luca-Mack,de GER,MF,Stuttgart,20,2000,0.1,20.0,30.0,667,270.0,100.0,20.0,20.0,1000,0.00,0.00,,0.00,10.0,00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
285,Mikail Maden\Mikail-Maden,no NOR,FW,Schalke 04,18,2002,0.1,20.0,20.0,1000,280.0,0.00,10.0,10.0,1000,10.0,10.0,1000,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
286,Arne Maier\Arne-Maier,de GER,MF,Hertha BSC,21,1999,0.3,66.7,70.0,952,1543.3,360.0,16.7,16.7,1000,40.0,40.0,1000,10.0,13.3,750,0.00,0.67,-0.67,3.33,6.67,3.33,0.00,10.0,Spiele
287,Arne Maier\Arne-Maier,de GER,MF,Arminia,21,1999,11.5,26.6,36.4,730,542.3,118.7,9.83,12.0,819,11.2,14.3,787,5.22,8.61,606,0.00,0.12,-0.12,1.04,1.83,0.87,0.09,2.52,Spiele
288,Yunus Mall?\Yunus-Malli,tr TUR,MF,Wolfsburg,28,1992,0.6,18.3,21.7,846,340.0,103.3,6.67,6.67,1000,10.0,11.7,857,1.67,3.33,500,0.00,0.17,-0.17,3.33,3.33,1.67,0.00,3.33,Spiele
289,Orel Mangala\Orel-Mangala,be BEL,MF,Stuttgart,22,1998,23.4,37.6,44.4,847,648.5,173.1,17.6,19.8,888,16.2,18.2,887,3.21,4.62,694,0.13,0.06,0.06,0.68,2.95,0.51,0.04,3.46,Spiele
290,Omar Marmoush\Omar-Marmoush,eg EGY,FW,Wolfsburg,21,1999,0.0,1,1,1000,13,0,1,1,1000,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Spiele
291,Aarón Martín\Aaron-Martin,es ESP,DF,Mainz 05,23,1997,2.9,42.1,58.3,722,765.2,310.0,18.6,21.0,885,16.9,23.1,731,5.86,11.7,500,0.00,0.14,-0.14,1.72,3.10,1.38,1.38,2.07,Spiele
292,Javi Martínez\Javi-Martinez,es ESP,DFMF,Bayern Munich,31,1988,5.2,67.7,75.0,903,1394.2,341.9,20.2,22.1,913,36.3,39.8,913,10.8,12.7,848,0.00,0.04,-0.04,0.19,6.54,0.38,0.00,4.81,Spiele
293,Josep Martinez\Josep-Martinez,es ESP,TW,RB Leipzig,22,1998,1.0,37.0,49.0,755,829.0,366.0,11.0,11.0,1000,19.0,19.0,1000,7.00,19.0,368,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
294,Omar Mascarell\Omar-Mascarell,es ESP,MF,Schalke 04,27,1993,19.6,37.0,45.1,822,800.8,188.9,11.9,13.4,889,17.4,19.8,879,7.24,10.5,693,0.05,0.03,0.03,0.36,2.50,0.36,0.00,3.37,Spiele
295,Roberto Massimo\Roberto-Massimo,de GER,DFFW,Stuttgart,19,2000,8.4,26.9,35.6,756,462.0,117.1,12.9,15.8,812,11.2,13.6,825,2.26,3.69,613,0.00,0.17,-0.17,0.95,0.83,1.07,0.24,2.14,Spiele
296,Jean-Philippe Mateta\Jean-Philippe-Mateta,fr FRA,FW,Mainz 05,23,1997,11.1,16.4,22.7,722,230.0,27.7,9.64,12.2,793,4.95,6.67,743,0.90,1.17,769,0.09,0.14,-0.05,1.26,0.45,0.36,0.00,0.54,Spiele
297,Rabbi Matondo\Rabbi-Matondo,wls WAL,FWMF,Schalke 04,19,2000,2.4,14.2,16.7,850,243.3,23.3,7.50,8.33,900,4.17,4.17,1000,1.67,2.08,800,0.00,0.04,-0.04,1.25,0.83,1.25,0.00,1.25,Spiele
298,Henning Matriciani\Henning-Matriciani,de GER,DF,Schalke 04,20,2000,0.3,10.0,16.7,600,240.0,240.0,3.33,10.0,333,3.33,3.33,1000,3.33,3.33,1000,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,Spiele
299,Konstantinos Mavropanos\Konstantinos-Mavropanos,gr GRE,DF,Stuttgart,22,1997,16.3,51.8,65.0,797,1099.2,448.7,17.4,20.1,869,25.1,28.5,880,8.77,14.7,598,0.00,0.02,-0.02,0.25,4.42,0.37,0.12,4.60,Spiele
300,Eric Maxim Choupo-Moting\Eric-Maxim-Choupo-Moting,cm CMR,FWMF,Bayern Munich,31,1989,9.1,19.6,24.2,809,265.4,44.4,13.0,14.6,887,5.05,6.26,807,0.77,0.99,778,0.00,0.18,-0.18,1.21,0.99,0.66,0.00,1.87,Spiele
301,Kevin Mbabu\Kevin-Mbabu,ch SUI,DF,Wolfsburg,25,1995,18.2,39.5,56.5,699,805.0,366.2,12.9,16.5,783,21.2,26.6,796,5.27,10.7,495,0.05,0.07,-0.01,0.71,3.74,1.65,0.60,7.75,Spiele
302,Jean-Manuel Mbom\Jean-Manuel-Mbom,de GER,MFDF,Werder Bremen,20,2000,12.9,19.9,28.2,706,348.6,106.5,9.61,12.2,785,8.22,11.1,741,1.71,3.64,468,0.08,0.05,0.03,0.54,1.55,0.47,0.16,1.71,Spiele
303,Nathan de Medina\Nathan-de-Medina,be BEL,DF,Arminia,22,1997,7.1,29.6,44.5,665,501.7,224.1,14.8,16.6,890,11.5,18.3,631,2.25,6.76,333,0.14,0.08,0.06,0.42,1.83,0.56,0.28,1.83,Spiele
